#{"t_start": 1684571180.820526, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
-1.0,63,19.044393,9,1,0.95
11.0,19,36.394577,0,2,0
5.0,44,87.577363,0,0,0
0.0,20,87.750559,0,1,0
24.0,32,103.568813,0,1,0
10.0,36,131.068769,0,0,0
25.0,22,141.87836,0,1,0
19.0,13,141.957466,0,1,0
33.0,13,173.479191,0,2,0
19.0,39,188.738622,2,1,1.0
0.0,34,225.150051,0,2,0
24.0,64,270.269091,0,2,0
23.0,37,280.360583,0,1,0
5.0,18,280.5099,0,0,0
9.0,43,316.322857,5,1,0.75
24.0,20,325.64282,0,2,0
25.0,27,349.940438,20,2,0.0
19.0,68,395.554059,0,2,0
10.0,125,445.862271,0,2,0
27.0,42,456.210613,0,2,0
14.0,40,481.953967,0,2,0
25.0,48,551.767579,5,1,0.05
24.0,46,587.903329,0,2,0
20.0,40,620.730491,0,2,0
24.0,40,670.069469,0,2,0
9.0,81,734.813307,0,1,0
14.0,33,763.135837,0,1,0
15.0,42,777.875857,0,0,0
17.0,68,856.161656,0,2,0
30.0,38,897.257591,16,1,0.0
8.0,88,958.928228,0,1,0
24.0,5,990.538056,8,1,0.3
19.0,33,991.149078,0,1,0
21.0,21,1023.03951,0,1,0
24.0,26,1058.793081,0,2,0
-6.0,18,1059.788722,5,1,1.0
25.0,95,1141.942978,9,1,0.05
20.0,26,1190.063297,0,1,0
18.0,30,1190.274917,0,1,0
33.0,15,1213.768303,0,1,0
5.0,38,1259.755101,0,1,0
14.0,116,1345.842258,0,1,0
5.0,72,1390.356616,0,1,0
19.0,12,1390.433073,0,1,0
28.0,25,1415.231827,10,1,0.0
-2.0,3,1416.724906,2,1,0.9
19.0,9,1426.853158,5,1,0.25
20.0,53,1451.232105,10,1,0.05
14.0,12,1451.335726,0,2,0
15.0,19,1479.982849,0,1,0
20.0,25,1488.697321,0,1,0
29.0,18,1513.279941,0,1,0
6.0,74,1581.462751,0,0,0
10.0,21,1593.889147,0,1,0
14.0,22,1602.905435,0,2,0
11.0,28,1615.287352,0,1,0
25.0,20,1626.420465,0,1,0
5.0,28,1626.675141,0,2,0
15.0,48,1627.043531,0,0,0
10.0,55,1639.654445,0,0,0
33.0,17,1663.531868,18,2,0.0
9.0,64,1676.354673,0,1,0
0.0,125,1784.712772,0,2,0
19.0,69,1820.979912,0,2,0
4.0,125,1867.906234,0,1,0
33.0,35,1886.638938,9,1,0.5
24.0,17,1899.062886,0,1,0
