#{"t_start": 1683737695.008179, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
9.0,17,0.445051,0,1,0
-10.0,10,0.518126,0,0,0
15.0,19,0.615704,0,0,0
0.0,7,11.403449,0,2,0
6.0,13,11.466347,0,0,0
14.0,7,12.213068,0,5,0
5.0,13,29.900004,0,2,0
3.0,13,29.964191,0,1,0
4.0,10,30.008532,0,1,0
15.0,7,30.140866,0,0,0
20.0,16,30.334421,0,2,0
-5.0,10,30.382557,0,2,0
14.0,16,81.27144,0,2,0
10.0,16,81.359082,0,3,0
4.0,14,81.441192,0,1,0
5.0,5,81.462107,0,1,0
-4.0,8,81.488557,0,1,0
10.0,9,81.525223,0,3,0
9.0,21,81.62523,0,2,0
5.0,14,81.682902,0,3,0
-1.0,10,81.73975,0,2,0
9.0,32,98.202678,0,3,0
0.0,17,115.024055,0,2,0
9.0,15,115.125581,0,2,0
10.0,15,115.202866,0,1,0
-1.0,7,115.250888,0,1,0
10.0,15,124.246704,0,2,0
1.0,10,138.569508,0,0,0
5.0,12,138.649952,0,3,0
-5.0,13,155.001381,0,1,0
10.0,32,171.418438,0,0,0
-9.0,12,171.514737,0,2,0
5.0,16,171.937713,0,3,0
5.0,13,172.009084,0,1,0
5.0,15,172.117274,0,2,0
5.0,11,172.205408,0,1,0
0.0,9,204.13393,0,1,0
14.0,12,221.636634,0,1,0
15.0,22,225.97803,0,0,0
-8.0,20,255.637803,0,0,0
15.0,14,255.710538,0,2,0
11.0,13,255.813545,0,3,0
5.0,8,255.89146,0,1,0
0.0,19,256.028498,0,0,0
-4.0,10,256.125873,0,1,0
0.0,13,256.267548,0,2,0
6.0,10,289.786014,0,2,0
-5.0,10,306.179889,0,0,0
1.0,10,338.451929,0,2,0
4.0,7,338.511555,0,1,0
5.0,11,338.560976,0,1,0
5.0,9,338.640183,0,3,0
6.0,7,338.723834,0,2,0
36.0,15,355.060336,12,1,0.0
-4.0,11,371.228336,0,0,0
4.0,12,371.302983,0,1,0
13.0,7,371.369869,0,1,0
0.0,15,387.071767,0,2,0
5.0,14,387.189312,0,1,0
0.0,20,404.887633,0,1,0
5.0,8,404.956155,0,1,0
-5.0,14,405.039785,0,1,0
4.0,11,421.444199,0,2,0
5.0,13,421.548052,0,2,0
10.0,14,438.198657,0,2,0
5.0,11,438.300186,0,1,0
10.0,9,438.341288,0,1,0
25.0,17,438.453121,0,0,0
4.0,12,438.531417,0,3,0
9.0,8,438.581015,0,1,0
9.0,10,438.647631,0,1,0
4.0,10,456.582558,0,2,0
10.0,15,456.69152,0,1,0
5.0,15,467.189949,0,0,0
5.0,7,467.242679,0,2,0
0.0,8,467.305641,0,2,0
0.0,9,467.398832,0,2,0
9.0,10,493.417546,0,0,0
19.0,10,493.508009,0,2,0
5.0,35,493.781506,0,1,0
15.0,18,493.885512,0,2,0
13.0,14,499.191977,0,1,0
23.0,17,529.10032,0,2,0
0.0,12,561.981722,0,1,0
3.0,7,562.043835,0,1,0
-5.0,6,562.073478,0,0,0
10.0,16,562.194043,0,1,0
-8.0,15,563.638998,0,3,0
-5.0,11,563.71683,0,2,0
5.0,22,563.838325,0,0,0
4.0,16,580.466649,0,4,0
0.0,8,580.519033,0,0,0
19.0,10,580.588745,0,2,0
12.0,6,594.501893,4,1,0.2
-4.0,19,594.654518,0,3,0
5.0,16,594.796786,0,3,0
-1.0,22,594.974051,0,2,0
1.0,12,595.084951,0,0,0
11.0,13,601.753014,0,2,0
5.0,12,634.412845,0,1,0
4.0,10,650.963956,0,1,0
1.0,16,651.075912,0,2,0
1.0,9,651.14967,0,1,0
12.0,16,651.237586,0,3,0
5.0,11,651.320795,0,1,0
8.0,24,651.495746,0,2,0
4.0,16,651.592869,0,1,0
-5.0,18,651.722828,0,2,0
-8.0,13,651.81032,0,0,0
5.0,14,668.139473,0,0,0
0.0,13,684.264938,0,0,0
6.0,10,700.525429,0,2,0
4.0,22,714.449445,0,3,0
-8.0,26,714.674305,0,0,0
-4.0,12,714.748968,0,2,0
-5.0,12,714.825147,0,0,0
4.0,14,714.909276,0,3,0
4.0,11,714.995994,0,1,0
-4.0,14,715.143123,0,2,0
0.0,8,731.383941,0,1,0
0.0,11,747.643037,0,1,0
9.0,11,747.71533,0,2,0
5.0,15,747.823572,0,1,0
-5.0,18,777.581357,0,2,0
9.0,20,777.766638,0,1,0
0.0,10,777.824717,0,0,0
0.0,9,777.901678,0,1,0
-1.0,7,777.962391,0,3,0
4.0,12,794.68478,0,1,0
14.0,12,844.664828,0,1,0
1.0,7,844.745113,0,2,0
0.0,6,844.791296,0,0,0
1.0,13,861.383691,0,2,0
6.0,17,861.516111,0,2,0
5.0,9,861.568757,0,1,0
1.0,17,861.669841,0,0,0
9.0,13,861.778432,0,2,0
5.0,18,862.942071,0,2,0
9.0,10,863.149721,0,3,0
10.0,20,863.265331,0,1,0
15.0,8,863.326344,0,0,0
9.0,14,863.503751,0,2,0
18.0,12,896.262392,14,1,0.0
4.0,16,929.365456,0,2,0
9.0,14,929.468603,0,2,0
9.0,36,929.736223,0,1,0
4.0,10,929.800913,0,2,0
9.0,17,979.196651,0,1,0
13.0,12,979.276348,0,2,0
5.0,21,979.486279,0,0,0
14.0,13,979.593568,0,1,0
5.0,12,1013.466719,0,0,0
11.0,7,1013.511461,0,1,0
0.0,11,1047.732075,0,2,0
6.0,12,1047.827644,0,2,0
8.0,9,1047.89221,0,1,0
4.0,11,1047.974471,0,1,0
-4.0,15,1048.08019,0,2,0
1.0,11,1048.179373,0,2,0
14.0,11,1048.297676,0,1,0
-4.0,16,1048.447894,0,0,0
0.0,14,1048.55997,0,2,0
4.0,21,1048.707468,0,2,0
0.0,16,1048.839406,0,2,0
9.0,10,1048.922089,0,1,0
9.0,13,1049.02848,0,1,0
0.0,11,1064.642022,0,3,0
-5.0,11,1064.745007,0,1,0
9.0,7,1064.795108,0,3,0
5.0,15,1064.889,0,1,0
0.0,10,1081.282593,0,2,0
1.0,23,1081.436302,0,1,0
6.0,13,1097.961621,0,0,0
-4.0,13,1098.055017,0,1,0
-4.0,19,1098.218904,0,1,0
-4.0,12,1098.295888,0,0,0
0.0,7,1100.018462,0,3,0
5.0,17,1100.163724,0,3,0
-5.0,10,1116.393833,0,0,0
0.0,11,1147.364085,0,1,0
5.0,10,1147.450871,0,2,0
5.0,10,1163.482213,0,1,0
9.0,14,1163.580933,0,2,0
0.0,20,1163.712323,0,2,0
13.0,10,1180.156864,0,3,0
0.0,11,1180.229258,0,2,0
1.0,10,1182.71434,0,3,0
6.0,29,1226.41308,0,1,0
1.0,11,1226.499912,0,4,0
1.0,18,1226.62199,0,3,0
5.0,14,1226.717474,0,2,0
0.0,11,1226.829011,0,2,0
5.0,8,1227.852787,0,2,0
10.0,8,1243.263031,0,2,0
10.0,11,1250.664019,0,1,0
5.0,19,1250.82425,0,0,0
5.0,8,1250.868114,0,0,0
9.0,14,1250.98287,0,1,0
-5.0,12,1251.078024,0,1,0
0.0,10,1251.163166,0,2,0
-5.0,14,1251.238859,0,4,0
-5.0,15,1251.33232,0,2,0
5.0,21,1251.489842,0,0,0
8.0,14,1253.018527,0,2,0
13.0,15,1253.221848,0,2,0
1.0,12,1253.275565,0,1,0
0.0,12,1253.345047,0,3,0
0.0,14,1319.102154,0,0,0
10.0,18,1335.417692,0,3,0
5.0,20,1345.423156,0,1,0
1.0,8,1345.485186,0,3,0
9.0,17,1378.177403,0,1,0
20.0,12,1394.735339,0,2,0
4.0,11,1395.226253,0,2,0
5.0,15,1395.339037,0,1,0
15.0,14,1428.074126,0,1,0
4.0,17,1439.254988,0,2,0
9.0,8,1504.91667,0,1,0
14.0,14,1533.280165,0,1,0
