#{"t_start": 1684589487.66245, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
10.1,9,10.400129,True
10.1,9,10.568873,True
10.6,4,10.632625,True
10.6,4,10.703359,True
10.6,4,10.770451,True
-2.0,20,11.102333,False
10.4,6,11.185554,True
10.4,6,11.276812,True
10.4,6,11.351066,True
9.9,11,11.51564,True
10.2,8,11.63495,True
10.6,4,11.695088,True
10.6,4,11.75029,True
10.3,7,11.854919,True
10.4,6,11.936849,True
10.3,7,12.038995,True
-2.0,20,12.334176,False
10.6,4,12.386223,True
-2.0,20,12.699525,False
-2.0,20,12.995156,False
-2.0,20,13.277956,False
10.6,4,13.331444,True
9.1,19,13.613784,True
10.6,4,13.671328,True
10.3,7,13.765337,True
-2.0,20,14.0358,False
10.1,9,14.160122,True
10.2,8,14.273661,True
10.0,10,14.419402,True
-2.0,20,14.697773,False
10.1,9,14.850431,True
10.4,6,14.933882,True
-2.0,20,15.242345,False
10.1,9,15.389628,True
10.3,7,15.48636,True
9.1,19,15.780965,True
10.2,8,15.914483,True
10.6,4,15.971278,True
-2.0,20,16.276592,False
10.3,7,16.391284,True
9.7,13,16.602423,True
10.5,5,16.676332,True
9.2,18,16.975415,True
-2.0,20,17.316573,False
-2.0,20,17.659873,False
10.2,8,17.799507,True
10.6,4,17.868236,True
9.9,11,18.045178,True
10.2,8,18.200666,True
10.4,6,18.322261,True
-2.0,20,18.708911,False
10.0,10,18.897468,True
10.1,9,19.059234,True
-2.0,20,19.419513,False
10.6,4,19.497254,True
10.2,8,19.647371,True
10.5,5,19.735254,True
10.5,5,19.832692,True
10.5,5,19.917463,True
-2.0,20,20.354039,False
-2.0,20,20.710973,False
10.4,6,20.819807,True
-2.0,20,21.180386,False
-2.0,20,21.537859,False
10.4,6,21.637198,True
9.4,16,21.944101,True
9.5,15,22.265769,True
-2.0,20,22.615072,False
10.5,5,22.714353,True
-2.0,20,23.079337,False
-2.0,20,23.46275,False
10.2,8,23.625014,True
10.1,9,23.785627,True
10.6,4,23.856293,True
9.4,16,24.138248,True
10.6,4,24.209336,True
10.4,6,24.5412,True
-2.0,20,24.876752,False
10.3,7,25.006407,True
10.3,7,25.130922,True
-2.0,20,25.489705,False
10.6,4,25.564613,True
-2.0,20,25.900465,False
9.6,14,26.132367,True
10.6,4,26.20557,True
10.2,8,26.350235,True
10.6,4,26.417506,True
10.2,8,26.555537,True
10.4,6,26.659299,True
10.4,6,26.76429,True
10.6,4,26.833968,True
9.9,11,27.017903,True
-2.0,20,27.378716,False
10.3,7,27.505178,True
10.4,6,27.610477,True
10.3,7,27.751666,True
10.2,8,27.892046,True
10.6,4,27.962879,True
10.4,6,28.073839,True
10.1,9,28.252044,True
10.0,10,28.433846,True
-2.0,20,28.824487,False
10.3,7,28.950608,True
10.6,4,29.028528,True
-2.0,20,29.394181,False
9.6,14,29.670847,True
10.5,5,29.773214,True
10.4,6,29.880698,True
10.4,6,29.998904,True
10.6,4,30.0794,True
9.6,14,30.332565,True
10.6,4,30.400671,True
10.5,5,30.496458,True
10.6,4,30.566235,True
-2.0,20,30.939028,False
10.3,7,31.052638,True
-2.0,20,31.411619,False
10.4,6,31.512474,True
9.6,14,31.760951,True
-2.0,20,32.14467,False
-2.0,20,32.523777,False
10.5,5,32.624504,True
10.0,10,32.79795,True
10.5,5,32.891372,True
10.6,4,32.956782,True
10.3,7,33.076349,True
