#{"t_start": 1684856081.3651786, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
-1.0,10,42.450853,False
-1.0,10,42.619061,False
-1.0,10,42.782851,False
-1.0,10,42.951643,False
-1.0,10,43.099496,False
-1.0,10,43.256508,False
-1.0,10,43.410944,False
-1.0,10,43.567631,False
-1.0,10,43.710868,False
-1.0,10,43.85245,False
-1.0,10,43.996095,False
-1.0,10,44.144529,False
-1.0,10,44.276674,False
-1.0,10,44.429684,False
-1.0,10,44.568967,False
-1.0,10,44.713081,False
-1.0,10,44.85475,False
10.8,2,44.893043,True
-1.0,10,45.038888,False
-1.0,10,45.202574,False
-1.0,10,45.351723,False
-1.0,10,45.527905,False
-1.0,10,45.69031,False
10.7,3,45.744396,True
-1.0,10,45.896686,False
10.3,7,46.004531,True
-1.0,10,46.161596,False
-1.0,10,46.318857,False
-1.0,10,46.484172,False
-1.0,10,46.665065,False
-1.0,10,46.830489,False
-1.0,10,46.999547,False
-1.0,10,47.171421,False
-1.0,10,47.329221,False
-1.0,10,47.49742,False
-1.0,10,47.654563,False
-1.0,10,47.812418,False
-1.0,10,47.975299,False
-1.0,10,48.133691,False
-1.0,10,48.305494,False
-1.0,10,48.475966,False
-1.0,10,48.62787,False
-1.0,10,48.810099,False
-1.0,10,48.974792,False
-1.0,10,49.154722,False
-1.0,10,49.340214,False
10.4,6,49.452403,True
-1.0,10,49.634341,False
-1.0,10,49.822615,False
10.0,10,49.982882,True
-1.0,10,50.146061,False
-1.0,10,50.310959,False
10.3,7,50.412067,True
-1.0,10,50.571479,False
-1.0,10,50.732268,False
-1.0,10,50.893253,False
-1.0,10,51.045211,False
10.5,5,51.12931,True
-1.0,10,51.285212,False
-1.0,10,51.435938,False
10.1,9,51.576416,True
-1.0,10,51.743392,False
-1.0,10,51.915336,False
-1.0,10,52.079683,False
-1.0,10,52.220481,False
-1.0,10,52.48227,False
-1.0,10,52.637262,False
10.3,7,52.752573,True
-1.0,10,52.928524,False
-1.0,10,53.092838,False
10.4,6,53.193953,True
-1.0,10,53.374842,False
-1.0,10,53.534339,False
-1.0,10,53.694346,False
-1.0,10,53.873248,False
-1.0,10,54.047324,False
-1.0,10,54.197701,False
-1.0,10,54.364489,False
-1.0,10,54.53804,False
-1.0,10,54.698428,False
-1.0,10,54.863386,False
-1.0,10,55.047876,False
-1.0,10,55.238652,False
-1.0,10,55.43489,False
-1.0,10,55.608224,False
-1.0,10,55.797487,False
10.8,2,55.834003,True
-1.0,10,56.002446,False
10.6,4,56.072504,True
-1.0,10,56.239938,False
-1.0,10,56.413609,False
-1.0,10,56.595195,False
-1.0,10,56.76568,False
-1.0,10,56.946017,False
-1.0,10,57.114271,False
-1.0,10,57.284009,False
-1.0,10,57.453945,False
-1.0,10,57.623917,False
-1.0,10,57.778146,False
-1.0,10,57.969992,False
-1.0,10,58.129975,False
-1.0,10,58.293985,False
-1.0,10,58.443318,False
-1.0,10,58.623971,False
-1.0,10,58.791735,False
10.6,4,58.857277,True
-1.0,10,59.026666,False
-1.0,10,59.211671,False
-1.0,10,59.376975,False
-1.0,10,59.552186,False
10.5,5,59.630523,True
-1.0,10,59.78118,False
-1.0,10,59.939598,False
-1.0,10,60.108971,False
-1.0,10,60.274128,False
10.8,2,60.313166,True
-1.0,10,60.487806,False
-1.0,10,60.654524,False
10.8,2,60.682729,True
-1.0,10,60.861255,False
-1.0,10,61.045835,False
-1.0,10,61.216883,False
-1.0,10,61.391305,False
-1.0,10,61.566113,False
-1.0,10,61.721218,False
-1.0,10,61.898097,False
-1.0,10,62.071842,False
-1.0,10,62.241049,False
-1.0,10,62.418576,False
-1.0,10,62.593242,False
-1.0,10,62.758718,False
-1.0,10,62.940076,False
-1.0,10,63.173879,False
-1.0,10,63.345501,False
-1.0,10,63.514258,False
-1.0,10,63.67194,False
-1.0,10,63.844217,False
-1.0,10,64.018252,False
-1.0,10,64.187388,False
-1.0,10,64.350411,False
-1.0,10,64.505952,False
-1.0,10,64.676477,False
-1.0,10,64.84408,False
-1.0,10,65.021783,False
-1.0,10,65.188819,False
-1.0,10,65.362202,False
-1.0,10,65.528968,False
-1.0,10,65.694553,False
-1.0,10,65.865309,False
-1.0,10,66.034281,False
10.3,7,66.137445,True
-1.0,10,66.292565,False
-1.0,10,66.452032,False
10.5,5,66.525226,True
-1.0,10,66.672724,False
-1.0,10,66.831365,False
10.8,2,66.863184,True
-1.0,10,67.022657,False
10.8,2,67.061081,True
-1.0,10,67.223665,False
-1.0,10,67.373528,False
-1.0,10,67.540872,False
-1.0,10,67.69937,False
10.8,2,67.729343,True
-1.0,10,67.89674,False
-1.0,10,68.05902,False
-1.0,10,68.217377,False
-1.0,10,68.381193,False
-1.0,10,68.547806,False
-1.0,10,68.705767,False
-1.0,10,68.887185,False
-1.0,10,69.05188,False
10.8,2,69.090681,True
-1.0,10,69.249909,False
-1.0,10,69.415227,False
-1.0,10,69.578853,False
-1.0,10,69.742158,False
-1.0,10,69.919328,False
-1.0,10,70.084236,False
-1.0,10,70.262861,False
-1.0,10,70.428013,False
-1.0,10,70.586043,False
-1.0,10,70.745252,False
-1.0,10,70.898015,False
10.3,7,71.009657,True
-1.0,10,71.172105,False
-1.0,10,71.331603,False
-1.0,10,71.494241,False
-1.0,10,71.671044,False
-1.0,10,71.849566,False
-1.0,10,72.021068,False
-1.0,10,72.186623,False
-1.0,10,72.353236,False
-1.0,10,72.508136,False
-1.0,10,72.676272,False
-1.0,10,72.847088,False
-1.0,10,73.01916,False
-1.0,10,73.193407,False
-1.0,10,73.37507,False
-1.0,10,73.639721,False
-1.0,10,73.792737,False
10.3,7,73.917525,True
10.8,2,73.948088,True
-1.0,10,74.122647,False
-1.0,10,74.291602,False
-1.0,10,74.454031,False
-1.0,10,74.611042,False
-1.0,10,74.779155,False
-1.0,10,74.939772,False
-1.0,10,75.114599,False
-1.0,10,75.281229,False
-1.0,10,75.457956,False
-1.0,10,75.645301,False
-1.0,10,75.811835,False
-1.0,10,75.975132,False
-1.0,10,76.159192,False
-1.0,10,76.331549,False
-1.0,10,76.493875,False
-1.0,10,132.818002,False
10.3,7,132.946366,True
-1.0,10,133.130621,False
-1.0,10,133.296148,False
-1.0,10,133.467812,False
-1.0,10,133.639537,False
-1.0,10,133.822188,False
-1.0,10,133.99209,False
-1.0,10,134.153178,False
-1.0,10,134.308625,False
-1.0,10,134.456885,False
-1.0,10,134.607683,False
-1.0,10,134.759682,False
-1.0,10,134.92729,False
-1.0,10,135.099508,False
-1.0,10,135.284037,False
-1.0,10,135.463315,False
-1.0,10,135.642233,False
-1.0,10,135.801228,False
-1.0,10,135.985744,False
-1.0,10,136.167183,False
-1.0,10,136.327379,False
-1.0,10,136.49092,False
-1.0,10,136.642256,False
-1.0,10,136.81073,False
-1.0,10,136.982084,False
-1.0,10,137.162378,False
-1.0,10,137.327708,False
-1.0,10,137.484806,False
-1.0,10,137.650134,False
-1.0,10,137.812193,False
10.7,3,137.864533,True
-1.0,10,138.023504,False
-1.0,10,138.180826,False
-1.0,10,138.34554,False
-1.0,10,138.507895,False
-1.0,10,138.665809,False
10.5,5,138.75089,True
-1.0,10,138.919254,False
10.2,8,139.059035,True
10.6,4,139.124047,True
10.4,6,139.231251,True
10.8,2,139.262794,True
10.1,9,139.415486,True
-1.0,10,139.600199,False
10.4,6,139.709126,True
10.2,8,139.834008,True
-1.0,10,139.997339,False
-1.0,10,140.163138,False
-1.0,10,140.492692,False
-1.0,10,140.679241,False
-1.0,10,140.858711,False
-1.0,10,141.026329,False
10.7,3,141.0829,True
-1.0,10,141.241701,False
-1.0,10,141.421626,False
-1.0,10,141.585254,False
-1.0,10,141.766746,False
-1.0,10,141.930223,False
-1.0,10,142.086052,False
-1.0,10,142.254331,False
-1.0,10,142.420325,False
-1.0,10,142.605044,False
10.7,3,142.656347,True
-1.0,10,142.826851,False
