#{"t_start": 1684856081.3204315, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
-1.0,10,42.497569,False
-1.0,10,42.66309,False
-1.0,10,42.826805,False
10.0,10,42.996913,True
-1.0,10,43.144804,False
-1.0,10,43.301961,False
-1.0,10,43.453875,False
-1.0,10,43.613025,False
-1.0,10,43.756172,False
-1.0,10,43.894236,False
-1.0,10,44.037829,False
-1.0,10,44.185168,False
-1.0,10,44.320319,False
-1.0,10,44.474347,False
-1.0,10,44.615725,False
-1.0,10,44.75865,False
-1.0,10,44.90201,False
-1.0,10,45.053164,False
10.2,8,45.174735,True
-1.0,10,45.338092,False
10.2,8,45.47008,True
-1.0,10,45.640561,False
10.6,4,45.701679,True
-1.0,10,45.857429,False
-1.0,10,46.013484,False
-1.0,10,46.17779,False
-1.0,10,46.329568,False
10.3,7,46.450007,True
10.2,8,46.585016,True
10.8,2,46.619086,True
-1.0,10,46.795785,False
10.6,4,46.859333,True
-1.0,10,47.031025,False
-1.0,10,47.201343,False
-1.0,10,47.35911,False
10.0,10,47.523562,True
10.7,3,47.57147,True
-1.0,10,47.724843,False
-1.0,10,47.894178,False
-1.0,10,48.057992,False
-1.0,10,48.214904,False
-1.0,10,48.385885,False
-1.0,10,48.552662,False
-1.0,10,48.710386,False
-1.0,10,48.893872,False
10.7,3,48.937004,True
-1.0,10,49.106878,False
-1.0,10,49.292295,False
-1.0,10,49.473063,False
-1.0,10,49.660997,False
10.5,5,49.752424,True
-1.0,10,49.928151,False
-1.0,10,50.086151,False
-1.0,10,50.248098,False
-1.0,10,50.410296,False
-1.0,10,50.563252,False
-1.0,10,50.728884,False
10.7,3,50.773641,True
10.8,2,50.811513,True
-1.0,10,50.964653,False
-1.0,10,51.127331,False
-1.0,10,51.287006,False
-1.0,10,51.427629,False
-1.0,10,51.589876,False
10.7,3,51.637094,True
-1.0,10,51.801351,False
-1.0,10,51.973059,False
-1.0,10,52.141697,False
-1.0,10,52.283319,False
-1.0,10,52.543596,False
-1.0,10,52.698578,False
-1.0,10,52.86865,False
-1.0,10,53.035106,False
10.5,5,53.123124,True
10.8,2,53.153647,True
10.5,5,53.240845,True
10.6,4,53.310277,True
-1.0,10,53.486466,False
-1.0,10,53.640774,False
-1.0,10,53.813692,False
10.6,4,53.88661,True
-1.0,10,54.058894,False
-1.0,10,54.210894,False
-1.0,10,54.374899,False
-1.0,10,54.546222,False
-1.0,10,54.715117,False
-1.0,10,54.881602,False
-1.0,10,55.059676,False
-1.0,10,55.243548,False
-1.0,10,55.439941,False
-1.0,10,55.615121,False
10.4,6,55.731639,True
-1.0,10,55.907192,False
10.5,5,55.992787,True
-1.0,10,56.174264,False
-1.0,10,56.331591,False
-1.0,10,56.509449,False
10.6,4,56.581767,True
-1.0,10,56.75544,False
-1.0,10,56.939422,False
-1.0,10,57.112203,False
-1.0,10,57.277117,False
-1.0,10,57.443859,False
-1.0,10,57.6113,False
-1.0,10,57.773143,False
-1.0,10,57.948025,False
-1.0,10,58.126474,False
-1.0,10,58.288141,False
-1.0,10,58.438433,False
-1.0,10,58.615187,False
10.2,8,58.753358,True
-1.0,10,58.923011,False
10.3,7,59.0309,True
-1.0,10,59.221744,False
-1.0,10,59.384082,False
-1.0,10,59.562083,False
-1.0,10,59.720441,False
-1.0,10,59.874827,False
-1.0,10,60.036851,False
10.2,8,60.176751,True
-1.0,10,60.336877,False
-1.0,10,60.515719,False
-1.0,10,60.684439,False
-1.0,10,60.855062,False
-1.0,10,61.030652,False
-1.0,10,61.213778,False
10.7,3,61.263899,True
-1.0,10,61.435548,False
-1.0,10,61.610706,False
-1.0,10,61.76918,False
10.4,6,61.877564,True
-1.0,10,62.046358,False
-1.0,10,62.226566,False
-1.0,10,62.390747,False
-1.0,10,62.573127,False
-1.0,10,62.739264,False
10.5,5,62.824363,True
-1.0,10,63.003103,False
-1.0,10,63.232618,False
-1.0,10,63.410619,False
10.5,5,63.493753,True
-1.0,10,63.653804,False
-1.0,10,63.820477,False
-1.0,10,63.989696,False
-1.0,10,64.159217,False
-1.0,10,64.321677,False
-1.0,10,64.484398,False
-1.0,10,64.652164,False
-1.0,10,64.824072,False
-1.0,10,64.997059,False
-1.0,10,65.167528,False
-1.0,10,65.333904,False
-1.0,10,65.501242,False
-1.0,10,65.664602,False
-1.0,10,65.841361,False
-1.0,10,66.008823,False
-1.0,10,66.163902,False
-1.0,10,66.318512,False
-1.0,10,66.478926,False
-1.0,10,66.627297,False
-1.0,10,66.78238,False
10.0,10,66.947251,True
-1.0,10,67.103547,False
-1.0,10,67.269483,False
-1.0,10,67.418877,False
10.7,3,67.472634,True
10.4,6,67.573468,True
-1.0,10,67.723064,False
-1.0,10,67.890189,False
-1.0,10,68.049063,False
-1.0,10,68.217047,False
-1.0,10,68.369848,False
-1.0,10,68.548322,False
10.7,3,68.593878,True
-1.0,10,68.75135,False
10.4,6,68.859843,True
-1.0,10,69.035751,False
-1.0,10,69.201009,False
-1.0,10,69.358799,False
-1.0,10,69.528167,False
-1.0,10,69.694054,False
-1.0,10,69.856194,False
-1.0,10,70.034928,False
10.6,4,70.094036,True
-1.0,10,70.270018,False
-1.0,10,70.439539,False
10.4,6,70.531811,True
-1.0,10,70.698656,False
-1.0,10,70.850267,False
-1.0,10,70.999634,False
10.7,3,71.053581,True
-1.0,10,71.212847,False
-1.0,10,71.374432,False
10.4,6,71.47232,True
10.6,4,71.539086,True
10.6,4,71.604708,True
-1.0,10,71.776552,False
-1.0,10,71.958741,False
10.3,7,72.08448,True
-1.0,10,72.250234,False
-1.0,10,72.415683,False
-1.0,10,72.570289,False
-1.0,10,72.739693,False
10.6,4,72.800503,True
10.4,6,72.91439,True
-1.0,10,73.08109,False
-1.0,10,73.255693,False
10.5,5,73.349359,True
-1.0,10,73.513196,False
-1.0,10,73.779384,False
-1.0,10,73.949753,False
-1.0,10,74.113954,False
-1.0,10,74.281691,False
-1.0,10,74.447038,False
10.0,10,74.608557,True
10.7,3,74.656605,True
-1.0,10,74.825003,False
-1.0,10,74.988074,False
-1.0,10,75.159787,False
10.5,5,75.248107,True
-1.0,10,75.408065,False
-1.0,10,75.592304,False
-1.0,10,75.763516,False
-1.0,10,75.93803,False
-1.0,10,76.113421,False
-1.0,10,76.284562,False
-1.0,10,76.461825,False
10.3,7,132.708848,True
-1.0,10,132.89132,False
-1.0,10,133.090415,False
-1.0,10,133.258695,False
-1.0,10,133.430822,False
-1.0,10,133.598978,False
-1.0,10,133.772851,False
-1.0,10,133.945724,False
-1.0,10,134.116601,False
-1.0,10,134.281334,False
-1.0,10,134.429327,False
10.4,6,134.515054,True
-1.0,10,134.66549,False
-1.0,10,134.82257,False
-1.0,10,134.988217,False
-1.0,10,135.159982,False
-1.0,10,135.345913,False
-1.0,10,135.527949,False
-1.0,10,135.700077,False
-1.0,10,135.861724,False
-1.0,10,136.046071,False
-1.0,10,136.225485,False
-1.0,10,136.390232,False
-1.0,10,136.553141,False
-1.0,10,136.698742,False
-1.0,10,136.869647,False
-1.0,10,137.0431,False
-1.0,10,137.224042,False
-1.0,10,137.393526,False
10.8,2,137.422366,True
-1.0,10,137.571748,False
-1.0,10,137.744004,False
10.3,7,137.860548,True
10.6,4,137.929553,True
10.1,9,138.07036,True
-1.0,10,138.228967,False
