#{"t_start": 1684855438.043446, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
-5.0,13,1.861558,0,2,0
-4.0,12,1.936223,0,3,0
0.0,13,1.998101,0,1,0
1.0,7,2.025164,0,3,0
-13.0,6,2.04886,0,4,0
5.0,8,2.092404,0,2,0
10.0,6,2.114135,0,2,0
-5.0,10,2.170485,0,1,0
-5.0,11,2.225787,0,2,0
6.0,11,2.276799,0,1,0
-8.0,19,2.37264,0,1,0
0.0,7,2.407421,0,2,0
5.0,7,2.444327,0,2,0
-9.0,8,2.483716,0,3,0
-5.0,8,2.50952,0,0,0
9.0,6,2.531227,0,1,0
-5.0,7,2.558201,0,0,0
4.0,6,2.601416,0,1,0
-14.0,15,2.697248,0,4,0
0.0,10,2.740456,0,2,0
-5.0,7,2.781509,0,0,0
16.0,14,2.847286,0,2,0
0.0,6,2.871914,0,1,0
0.0,9,2.907495,0,0,0
5.0,12,2.953036,0,2,0
1.0,14,3.036869,0,2,0
5.0,9,3.079618,0,1,0
-9.0,11,3.158397,0,0,0
1.0,12,3.210988,0,5,0
0.0,13,3.295319,0,1,0
1.0,9,3.330258,0,1,0
1.0,16,3.392728,0,2,0
-8.0,12,3.507464,0,1,0
-5.0,7,3.535952,0,0,0
4.0,9,3.586669,0,1,0
5.0,14,3.640919,0,3,0
-9.0,22,3.759282,0,4,0
9.0,13,3.813857,0,2,0
9.0,7,3.846814,0,2,0
9.0,6,3.881845,0,1,0
1.0,7,3.918162,0,0,0
1.0,20,3.990457,0,1,0
11.0,11,4.030967,0,2,0
0.0,9,4.07939,0,1,0
-8.0,9,4.122075,0,0,0
-5.0,6,4.14487,0,1,0
0.0,5,4.163819,0,1,0
-18.0,10,4.203372,0,0,0
-9.0,15,4.265507,0,0,0
-13.0,8,4.296432,0,0,0
5.0,7,4.325499,0,4,0
-8.0,31,4.45074,0,3,0
-5.0,11,4.504633,0,1,0
5.0,9,4.536817,0,2,0
-4.0,8,4.57575,0,1,0
-5.0,7,4.613728,0,1,0
0.0,19,4.699801,0,0,0
-10.0,10,4.736746,0,3,0
1.0,19,4.89356,0,3,0
0.0,9,4.951127,0,1,0
0.0,8,5.031215,0,2,0
0.0,17,5.134431,0,3,0
-5.0,14,5.247799,0,2,0
-4.0,13,5.340197,0,0,0
4.0,7,5.383207,0,2,0
13.0,10,5.421877,0,1,0
-9.0,15,5.500919,0,1,0
