#{"t_start": 1671636692.355896, "env_id": "sokoban-turtle-v0"}
r,l,t
-28.0,54,6.070586
-14.0,48,7.868295
-4.0,63,10.210166
4.0,49,12.159391
-15.0,61,14.473492
-17.0,45,16.090293
-7.0,47,17.997107
-9.0,47,19.850081
-2.0,38,21.359267
-7.0,31,22.45178
-6.0,44,24.089205
-12.0,46,25.908441
6.0,54,27.786664
7.0,51,29.724544
-8.0,52,31.633035
-19.0,43,33.549626
4.0,44,35.097559
-4.0,52,37.015467
3.0,37,38.460757
-1.0,45,40.420156
-16.0,48,42.123799
-9.0,50,43.996761
-4.0,37,45.53884
-9.0,55,47.733189
-8.0,48,49.461995
1.0,46,51.467027
-15.0,39,53.06114
-23.0,50,55.103859
-3.0,50,57.023193
-7.0,54,59.061273
2.0,46,60.991355
-12.0,55,63.184029
-4.0,37,64.876553
-1.0,45,66.766732
19.0,46,68.520643
6.0,41,70.069847
-11.0,56,72.370127
2.0,46,74.143437
-8.0,46,76.048222
-12.0,54,78.098207
2.0,42,79.897158
-5.0,46,81.703803
5.0,38,83.264605
-4.0,52,496.348094
-5.0,41,498.433495
1.0,42,500.819112
-2.0,46,503.090274
-2.0,36,505.197076
-4.0,41,507.3787
-6.0,43,509.791117
-12.0,36,511.919874
-7.0,49,514.740957
-5.0,37,516.693321
-2.0,47,519.595618
-2.0,36,521.709636
-4.0,41,524.110573
1.0,35,525.927507
-10.0,50,528.774336
9.0,43,531.365278
-1.0,49,533.937645
-17.0,48,536.56679
-7.0,35,538.711253
7.0,40,540.919294
-2.0,46,543.417285
-3.0,53,546.652598
-12.0,35,548.587944
-1.0,36,550.8629
-8.0,41,553.210779
5.0,49,556.079628
-4.0,41,558.293915
-4.0,45,560.672489
9.0,53,563.895267
-1.0,39,566.145378
11.0,41,568.605204
0.0,36,570.508366
-6.0,59,573.978101
-6.0,32,575.75541
8.0,34,577.775516
-8.0,41,580.182086
-8.0,34,582.033371
9.0,39,584.306315
3.0,45,587.0686
-2.0,34,588.932783
1.0,50,591.961919
0.0,45,594.712413
3.0,51,597.775331
4.0,45,600.087205
2.0,45,602.773038
-7.0,47,605.317327
10.0,55,608.480098
0.0,44,610.798361
11.0,42,1013.397035
4.0,36,1015.539856
-7.0,51,1018.415388
4.0,51,1021.323928
1.0,47,1024.089894
0.0,44,1026.427984
19.0,42,1029.109062
