#{"t_start": 1678982651.5263534, "env_id": "sokoban-turtle-v0"}
r,l,t
0.0,13,16.964597
5.0,16,17.009816
-21.0,8,17.02936
4.0,6,17.043972
0.0,9,17.070162
0.0,15,17.114246
14.0,14,17.161605
-4.0,18,17.221138
4.0,6,17.239065
-9.0,12,17.27268
4.0,17,17.329847
-4.0,8,17.361351
0.0,9,17.387394
-3.0,15,17.428327
1.0,12,17.465281
-4.0,11,17.503238
1.0,9,17.532897
-7.0,11,17.569594
5.0,10,17.601081
1.0,14,17.654403
-4.0,14,17.703138
-4.0,11,17.749577
-1.0,9,17.784233
-13.0,10,17.82136
0.0,7,17.847075
0.0,15,17.897379
-4.0,12,17.945073
6.0,9,17.980126
11.0,13,18.030482
-18.0,11,18.060916
-5.0,10,18.092146
0.0,9,18.135158
6.0,9,18.173625
6.0,15,18.226558
1.0,9,18.269857
0.0,12,18.320927
4.0,10,18.363465
-3.0,8,18.39834
-8.0,14,18.452189
-13.0,14,18.505997
-4.0,10,18.5373
-8.0,16,18.612913
-8.0,16,18.664893
6.0,10,18.699699
6.0,10,18.745776
0.0,9,18.784897
4.0,10,18.83191
0.0,10,18.862816
6.0,6,18.882301
4.0,10,18.924269
10.0,9,18.948908
0.0,5,18.964458
-8.0,13,19.020319
-2.0,13,19.067441
-8.0,15,19.131735
6.0,7,19.155008
1.0,8,19.192417
-8.0,19,19.258118
-8.0,10,19.297744
11.0,11,19.34114
5.0,11,19.387042
0.0,9,19.413916
6.0,11,19.459423
0.0,7,19.48853
4.0,14,19.532692
2.0,13,19.585528
6.0,7,19.608409
-4.0,11,19.643548
1.0,12,19.676016
6.0,6,19.690721
-4.0,16,19.735712
-7.0,9,19.765547
11.0,6,19.799363
6.0,9,19.839727
10.0,16,19.894432
10.0,7,19.92443
1.0,13,19.973429
0.0,8,20.002623
1.0,16,20.054405
-5.0,12,20.104876
0.0,6,20.137059
0.0,9,20.159745
-4.0,12,20.202759
-4.0,7,20.220402
1.0,14,20.269913
-4.0,7,20.284346
1.0,12,20.32044
-5.0,14,20.375904
-1.0,15,20.427878
0.0,6,20.443637
6.0,14,20.486584
0.0,10,21.876941
-4.0,10,21.899435
0.0,6,21.913749
0.0,14,21.947602
-8.0,18,21.998324
-6.0,14,22.035182
7.0,13,22.069563
-4.0,9,22.092245
7.0,13,22.133431
6.0,11,22.16538
-4.0,15,22.219144
-4.0,12,22.268233
6.0,13,22.325171
14.0,9,22.359974
8.0,10,22.397837
-3.0,16,22.447983
1.0,11,22.489106
16.0,12,22.522723
2.0,7,22.544523
10.0,13,22.579363
-4.0,9,22.60646
0.0,13,22.652226
11.0,8,22.672351
-1.0,8,22.694137
10.0,17,22.736286
5.0,17,22.775918
4.0,10,22.803653
6.0,11,22.848855
-1.0,12,22.891823
5.0,16,22.937286
-3.0,8,22.958936
-12.0,14,23.010236
6.0,11,23.054218
-9.0,8,23.073751
6.0,9,23.104426
6.0,13,23.155233
2.0,8,23.177711
7.0,13,23.224667
10.0,7,23.24427
-3.0,12,23.270579
-3.0,12,23.297326
-4.0,7,23.31821
-4.0,13,23.370931
11.0,8,23.396195
-3.0,16,23.444304
12.0,11,23.488505
2.0,13,23.548842
1.0,17,23.618192
0.0,16,23.67831
-5.0,11,23.718978
0.0,9,23.741531
0.0,9,23.76869
8.0,11,23.801912
2.0,7,23.816767
9.0,9,23.840293
8.0,12,23.896331
-13.0,10,23.938817
-4.0,8,23.964142
-8.0,9,23.996855
6.0,12,24.043956
-4.0,10,24.077192
-4.0,5,24.087185
1.0,15,24.139771
0.0,11,24.175133
5.0,12,24.213495
9.0,11,24.25661
11.0,18,24.307113
0.0,11,24.342078
11.0,12,24.371799
11.0,14,24.413751
-3.0,8,24.433045
2.0,8,24.459246
9.0,10,24.510342
-2.0,9,24.54923
6.0,8,24.579608
-3.0,14,24.634951
0.0,9,24.674188
2.0,11,24.718012
0.0,14,24.771142
5.0,10,24.815336
15.0,11,24.864853
-8.0,9,24.897499
17.0,12,24.950535
-4.0,7,24.978153
-8.0,14,25.040977
12.0,10,25.076867
0.0,8,25.104097
10.0,8,25.144265
2.0,6,25.168046
-4.0,9,25.198513
11.0,9,26.508947
0.0,11,26.548616
6.0,12,26.60487
-8.0,12,26.644249
11.0,10,26.670456
-4.0,11,118.648754
16.0,8,118.687236
9.0,16,118.746803
1.0,12,118.790507
-4.0,6,118.807387
-4.0,14,118.847284
11.0,6,118.866359
-1.0,12,118.911616
7.0,10,118.944094
0.0,12,118.986265
-3.0,14,119.050259
-4.0,7,119.073802
0.0,7,119.092238
-4.0,10,119.120843
6.0,14,119.172719
6.0,14,119.240106
-3.0,14,119.286175
2.0,11,119.344877
0.0,7,119.384866
-8.0,11,119.427685
1.0,11,119.474432
4.0,9,119.522497
15.0,13,119.590202
6.0,10,119.636289
6.0,8,119.666242
9.0,13,119.725457
0.0,7,119.753202
11.0,10,119.800864
1.0,11,119.846031
-10.0,9,119.882798
0.0,9,119.912311
6.0,11,119.95332
9.0,11,119.992663
1.0,8,120.024874
-6.0,15,120.090157
-8.0,23,120.179067
12.0,9,120.211354
-6.0,13,120.267831
9.0,10,120.311011
4.0,10,120.344369
0.0,15,120.393164
12.0,8,120.430925
10.0,12,120.484371
2.0,16,120.529157
0.0,7,120.550739
5.0,15,120.602261
11.0,7,120.618914
2.0,16,120.673786
-3.0,8,120.724268
11.0,6,120.743468
11.0,12,120.820888
-8.0,9,120.867069
6.0,8,120.890203
11.0,11,120.940667
0.0,10,120.971351
4.0,11,121.018899
1.0,16,121.078024
5.0,21,121.16658
6.0,16,121.206883
0.0,11,121.238178
7.0,13,121.287167
6.0,8,121.318965
7.0,10,121.364135
11.0,8,121.399305
-3.0,8,121.439038
1.0,17,121.529092
11.0,15,121.596659
-8.0,11,121.644127
-4.0,13,121.699759
6.0,10,121.732966
1.0,9,121.772291
21.0,10,121.810429
2.0,12,121.865201
8.0,13,121.910232
0.0,11,121.966383
11.0,6,121.990819
0.0,18,122.062176
10.0,13,122.106137
2.0,16,122.164871
-4.0,11,122.194224
1.0,10,122.230207
-8.0,8,122.25109
5.0,10,122.276048
2.0,12,122.315015
-3.0,9,122.348361
5.0,10,123.697986
0.0,19,123.762421
11.0,11,123.805314
6.0,21,123.887655
6.0,6,123.911809
-5.0,10,123.942637
2.0,18,124.032511
10.0,11,124.084483
11.0,13,124.139666
-8.0,8,124.182155
-5.0,8,124.210155
6.0,8,124.242136
0.0,15,124.288971
5.0,7,124.31475
7.0,16,124.355544
2.0,10,124.379582
-5.0,8,124.418347
9.0,9,124.443078
16.0,17,124.506902
-12.0,13,124.559627
-8.0,10,124.601838
4.0,10,124.650273
0.0,6,124.668844
-4.0,13,124.720575
6.0,10,124.757369
6.0,7,124.77716
0.0,8,124.795497
2.0,9,124.834205
5.0,19,124.914199
7.0,16,124.986253
5.0,10,125.027786
1.0,8,125.068848
0.0,7,125.101077
2.0,12,125.138716
15.0,12,125.171746
10.0,15,125.216511
-3.0,13,125.26516
3.0,16,125.335168
0.0,5,125.357158
1.0,10,125.394258
4.0,6,125.418872
0.0,7,125.44693
-4.0,15,125.51355
1.0,11,125.550676
6.0,19,125.611523
2.0,6,125.638712
7.0,9,125.670897
-13.0,12,125.711552
12.0,7,125.735644
0.0,12,125.791156
-5.0,8,125.815919
6.0,8,125.841453
1.0,16,125.888806
2.0,8,125.910434
6.0,8,125.937135
11.0,13,125.982569
-5.0,10,126.0265
-14.0,13,126.071115
1.0,13,126.120604
1.0,12,126.161851
10.0,19,126.215577
7.0,12,126.250973
5.0,14,126.318468
5.0,7,126.341195
9.0,10,126.366869
1.0,12,126.395549
0.0,9,126.421096
4.0,12,126.459118
11.0,11,126.508876
2.0,7,126.539836
0.0,13,126.588861
5.0,11,126.62059
11.0,8,126.649134
0.0,9,126.686224
6.0,6,126.707184
11.0,7,126.729825
0.0,16,126.77179
6.0,11,126.812805
