#{"t_start": 1673289094.1693652, "env_id": "sokoban-turtle-v0"}
r,l,t
24.0,62,14.387248
47.0,48,45.748935
23.0,62,51.460244
37.0,70,130.01991
40.0,70,175.695261
45.0,69,225.874177
11.0,51,230.701231
17.0,64,236.708804
31.0,43,246.525189
37.0,97,288.713762
38.0,84,315.626849
41.0,73,344.10131
29.0,84,352.479688
48.0,53,424.612511
53.0,70,457.523555
7.0,60,462.932379
30.0,45,467.605966
18.0,81,587.121257
21.0,58,592.454452
25.0,64,617.828588
35.0,71,625.043521
21.0,68,836.543332
20.0,90,917.465751
34.0,88,960.454507
29.0,56,966.706431
25.0,68,1130.899875
29.0,87,1240.554769
61.0,71,1427.265237
40.0,58,1432.6117
61.0,74,1439.495147
54.0,72,2047.043095
8.0,104,2057.301184
34.0,50,2061.957336
42.0,69,2217.407892
35.0,71,2224.278051
36.0,64,2232.869939
20.0,90,2241.74801
57.0,56,2253.384891
53.0,57,2297.638112
18.0,95,2361.994981
23.0,81,2447.686141
31.0,60,2517.104835
20.0,73,2524.365144
21.0,87,2586.17628
25.0,96,2595.120152
43.0,82,2602.757347
42.0,61,2682.926746
37.0,54,2688.434154
44.0,97,2750.893077
18.0,55,2770.358689
53.0,61,2814.311361
29.0,133,2897.717793
4.0,79,2905.577412
56.0,52,2910.338465
35.0,47,2915.186341
1.0,82,3110.260278
38.0,51,3260.312323
28.0,71,3380.089105
36.0,89,4219.821373
27.0,65,4257.765091
28.0,67,4286.910017
22.0,91,4360.328689
52.0,67,4597.732056
13.0,81,4605.616688
33.0,74,4677.734949
14.0,54,4791.718113
58.0,46,4796.22239
43.0,76,4900.389097
38.0,67,4926.350591
41.0,59,4990.134757
23.0,74,5152.177431
29.0,75,5186.087534
36.0,67,5197.92964
45.0,74,5358.102873
40.0,56,5363.939419
20.0,73,5550.167537
19.0,69,5714.854855
27.0,65,5787.781491
27.0,73,5797.101331
31.0,92,5879.853436
18.0,56,5916.231456
25.0,87,5961.32049
27.0,91,6044.73541
20.0,64,6104.233859
35.0,59,6126.952953
22.0,60,6132.727455
25.0,67,6183.667621
38.0,63,6829.663142
20.0,92,7011.187775
28.0,63,7053.701488
20.0,65,7214.463678
44.0,78,7221.928788
51.0,75,7231.109712
35.0,55,7354.251111
35.0,48,7434.563101
34.0,86,7491.941994
49.0,58,7567.415411
53.0,88,7693.385217
30.0,80,8013.932066
46.0,80,8288.943136
25.0,59,8559.950009
24.0,87,8776.358522
41.0,72,8971.681948
32.0,96,9279.219233
45.0,64,9384.510936
38.0,74,9445.014629
53.0,98,9478.465701
31.0,103,9490.377785
40.0,76,9528.812044
15.0,63,9566.201094
17.0,82,9864.582345
40.0,71,9873.158808
38.0,96,9885.749474
23.0,74,9994.474381
39.0,80,10802.617155
43.0,78,10922.087854
23.0,73,11083.867186
36.0,93,11208.354858
28.0,100,11262.852635
17.0,68,11396.915177
25.0,98,11829.889354
46.0,53,11835.240928
29.0,83,11909.681065
27.0,82,11957.775285
49.0,70,11980.001054
27.0,53,12205.097179
18.0,84,12213.571994
34.0,122,12535.557238
24.0,126,12684.738352
27.0,100,12758.714865
21.0,67,12810.944936
39.0,74,13046.369542
20.0,69,13113.85481
35.0,102,13344.216505
48.0,61,13425.262532
26.0,99,13707.959953
25.0,85,13759.231199
37.0,93,13905.807158
22.0,89,14702.904048
36.0,76,14912.80393
50.0,68,14946.257734
19.0,129,15069.120535
10.0,108,15124.64636
25.0,80,15143.450142
17.0,102,15236.076134
24.0,75,15457.139453
18.0,164,15508.573083
58.0,101,15721.697358
26.0,83,16011.782927
63.0,56,16075.896455
40.0,73,16120.154199
33.0,83,16309.468011
32.0,92,16413.919541
52.0,66,16689.892999
25.0,100,17093.809183
6.0,102,17269.744431
20.0,102,17361.591474
39.0,81,17502.564335
29.0,97,17650.700111
44.0,78,17720.849715
26.0,94,17807.81599
39.0,74,18417.18262
37.0,144,18712.963678
32.0,83,18804.007606
47.0,70,18811.280594
32.0,89,18984.840779
52.0,67,19106.174282
34.0,71,19112.654728
38.0,74,19119.936191
39.0,85,19284.214147
38.0,105,19419.900736
49.0,59,19518.292077
49.0,72,19525.092877
53.0,97,19579.023841
36.0,71,19586.11725
58.0,73,19593.441015
95.0,63,19677.86846
14.0,144,20099.820929
7.0,71,20233.965699
53.0,82,20369.66218
22.0,89,20605.646569
20.0,119,20803.757193
33.0,75,20811.278774
18.0,96,20932.720594
55.0,100,21842.46356
32.0,65,21849.160892
50.0,62,21864.625808
42.0,71,22154.401029
34.0,109,22370.480186
55.0,73,22400.647479
31.0,107,22481.041928
63.0,76,22492.539457
49.0,67,22522.826889
56.0,65,22589.70997
38.0,55,22645.370857
10.0,162,22997.559935
29.0,127,23309.965123
27.0,68,23518.784521
40.0,65,23610.411266
24.0,70,23738.324324
37.0,86,23845.637841
8.0,69,23887.463718
27.0,107,24066.797864
39.0,93,24082.212714
14.0,131,24296.977312
46.0,97,24383.315067
31.0,80,24391.659118
17.0,74,24411.956448
133.0,52,25225.595837
36.0,55,25250.500921
27.0,116,25511.021212
46.0,98,25841.480764
36.0,88,25894.298645
26.0,76,25901.713059
14.0,105,26130.683292
42.0,61,26136.75215
27.0,94,26301.678648
48.0,99,26394.717518
26.0,173,26638.458908
49.0,71,26806.511806
55.0,86,26880.674862
41.0,174,26998.862715
42.0,144,27245.613152
50.0,90,27450.290095
39.0,92,27687.989655
38.0,86,27838.364801
50.0,101,28048.353894
39.0,83,28161.623327
27.0,80,28313.703508
38.0,64,28440.158292
17.0,66,29216.402684
55.0,73,29432.238586
44.0,77,29440.212111
54.0,51,29449.053958
56.0,97,29621.533378
50.0,105,29826.506491
15.0,97,29903.94635
28.0,93,30085.355721
53.0,93,30252.663252
25.0,88,30474.234392
31.0,97,30847.652
34.0,172,31295.011509
36.0,105,31542.440453
17.0,135,31664.637424
35.0,77,31884.088573
41.0,74,31950.045519
25.0,74,32097.167986
29.0,66,32234.728635
33.0,92,32275.967597
42.0,75,32465.233677
59.0,91,32625.607261
46.0,104,32736.547569
48.0,76,33453.860811
47.0,72,33511.774142
59.0,67,33575.636934
23.0,182,33878.397996
52.0,71,34023.587282
56.0,75,34080.64887
18.0,215,34251.524668
46.0,75,34325.624044
47.0,92,34458.526118
43.0,72,34650.76718
40.0,91,34740.857579
26.0,98,34883.404887
43.0,96,35103.934825
29.0,93,35233.699954
36.0,93,35428.985879
60.0,91,35540.64466
52.0,98,35821.659203
34.0,96,36008.83659
45.0,83,36234.410794
32.0,120,36499.073035
29.0,101,36538.455328
32.0,87,37196.276006
41.0,91,37298.895197
34.0,97,37476.784782
25.0,199,38027.986571
69.0,74,38195.896555
48.0,98,38385.0572
76.0,72,38506.964103
32.0,71,38596.37326
54.0,82,38733.793215
32.0,90,38886.827122
47.0,70,38967.45209
35.0,75,39063.290948
22.0,126,39076.339793
9.0,119,39516.408915
28.0,130,39806.339162
76.0,86,40261.284478
41.0,77,40532.859604
45.0,93,40754.058893
43.0,60,40906.362376
62.0,79,40971.096335
41.0,109,41293.704876
58.0,73,41560.389984
34.0,63,42389.810942
29.0,123,42600.264814
54.0,74,42665.800825
32.0,87,42765.256564
33.0,126,43132.108643
19.0,79,43278.87039
63.0,78,43590.575541
11.0,140,43908.428758
40.0,130,43951.980184
43.0,86,44159.425665
33.0,85,44313.402903
26.0,86,44350.503575
20.0,90,44607.724523
39.0,118,45054.458997
38.0,109,45414.186312
30.0,97,45467.637603
47.0,80,45561.999073
37.0,84,45663.484911
39.0,77,45843.016815
49.0,94,45904.001702
32.0,73,46017.96606
23.0,87,46159.237776
35.0,93,47114.908505
52.0,63,47197.607468
33.0,68,47312.004789
36.0,85,47415.305387
23.0,90,47585.478113
38.0,75,47858.948502
42.0,50,48144.399791
51.0,117,48342.732129
42.0,59,48518.148887
38.0,76,48729.006335
15.0,92,48901.603238
44.0,69,49042.766618
48.0,128,49252.684871
15.0,134,49373.503726
24.0,89,49473.422082
36.0,60,49564.757431
35.0,71,49712.413321
22.0,78,49947.550126
26.0,174,50207.481027
22.0,113,50233.084143
30.0,71,50330.367959
23.0,150,50618.521995
45.0,78,51324.460337
40.0,107,51634.25706
44.0,87,51845.960099
41.0,108,51952.183953
44.0,104,52035.262841
38.0,83,52305.826717
47.0,83,52333.061674
25.0,127,52579.693351
31.0,63,52717.86266
37.0,80,52877.174355
35.0,116,53180.774343
27.0,156,53709.795043
15.0,64,53846.039069
46.0,74,53963.680064
38.0,67,54123.754364
44.0,134,54289.958305
52.0,168,55090.762671
25.0,141,55240.659651
32.0,233,55776.895464
