#{"t_start": 1673289093.877763, "env_id": "sokoban-turtle-v0"}
r,l,t
31.0,72,43.483722
63.0,45,46.74327
13.0,69,52.836478
46.0,77,132.295282
34.0,70,197.481758
25.0,48,226.150422
27.0,72,232.879764
31.0,72,245.736372
37.0,67,282.402129
45.0,82,311.648823
35.0,73,318.665333
7.0,76,347.460898
44.0,70,375.88163
50.0,68,428.55959
20.0,65,460.331213
25.0,83,468.131372
42.0,85,588.144771
52.0,86,595.579326
40.0,77,623.076671
65.0,65,721.816212
31.0,72,845.565902
29.0,55,918.973619
9.0,109,963.768281
15.0,91,1131.178285
28.0,80,1240.108247
5.0,80,1427.633248
37.0,107,1437.797377
27.0,63,2043.513909
0.0,114,2055.435406
3.0,69,2062.049052
28.0,85,2218.739468
17.0,90,2227.747236
20.0,73,2236.958115
33.0,84,2245.803949
46.0,57,2296.15209
45.0,78,2358.359347
15.0,61,2399.909224
19.0,66,2461.591184
39.0,73,2519.413928
41.0,56,2524.833556
33.0,59,2561.765764
14.0,62,2590.238919
33.0,59,2595.446368
-5.0,98,2604.73332
32.0,69,2685.911449
36.0,73,2692.664743
44.0,61,2752.228008
82.0,58,2771.61366
41.0,76,2816.767074
50.0,68,2862.985931
14.0,75,2901.970681
28.0,79,2909.244265
23.0,62,2915.374038
37.0,73,3058.084705
17.0,70,3262.109595
31.0,92,4062.283272
58.0,84,4254.407719
1.0,100,4286.827133
34.0,116,4362.070239
32.0,83,4601.762228
18.0,65,4607.646506
60.0,58,4678.172932
28.0,56,4792.548653
48.0,86,4828.041066
38.0,80,4924.56222
34.0,78,4990.408958
28.0,79,5153.071488
45.0,68,5186.268007
37.0,75,5198.721048
54.0,49,5356.472069
78.0,86,5365.60038
22.0,56,5549.749116
26.0,69,5679.082108
11.0,58,5786.95628
19.0,71,5795.839576
33.0,85,5850.820024
38.0,42,5881.9807
16.0,103,5959.786309
24.0,66,5984.078064
37.0,60,6060.390317
43.0,75,6124.236948
27.0,71,6131.128839
13.0,70,6177.385286
14.0,61,6828.006692
27.0,85,6991.946005
46.0,75,7052.396891
25.0,83,7215.304609
19.0,86,7223.218541
37.0,77,7250.101093
26.0,72,7406.523607
46.0,71,7488.223034
27.0,77,7566.477655
44.0,82,7665.889654
18.0,61,7946.508619
30.0,79,8083.350084
45.0,62,8456.719742
43.0,83,8694.891534
57.0,65,8875.735518
12.0,72,9068.806612
14.0,73,9279.496434
38.0,68,9385.011225
23.0,64,9444.917561
28.0,48,9466.033699
51.0,66,9479.660436
34.0,54,9487.002553
14.0,96,9527.422569
22.0,85,9611.514671
15.0,83,9865.085543
71.0,53,9871.920073
58.0,76,9883.305608
46.0,69,9889.50099
39.0,70,10654.970373
14.0,122,10921.754255
38.0,82,11084.346684
61.0,71,11204.310633
28.0,76,11229.866727
39.0,84,11321.251323
38.0,63,11490.237338
31.0,70,11830.965331
45.0,124,11909.782468
30.0,83,11957.627535
62.0,87,12048.397591
29.0,194,12243.499037
45.0,63,12574.293204
18.0,78,12670.020066
28.0,78,12735.624755
