#{"t_start": 1673289094.3931708, "env_id": "sokoban-turtle-v0"}
r,l,t
22.0,78,43.232133
27.0,87,50.415437
7.0,77,129.794641
41.0,82,196.092902
22.0,57,225.648243
32.0,67,231.778733
37.0,71,238.663726
21.0,62,250.765286
42.0,59,288.67627
20.0,81,315.86466
39.0,90,345.800134
31.0,72,374.400587
3.0,55,425.210218
33.0,52,456.464143
15.0,80,463.568866
28.0,101,585.741262
34.0,54,590.350944
22.0,66,616.231615
25.0,61,622.286584
22.0,76,783.812593
10.0,81,846.319483
19.0,62,937.595999
41.0,75,962.194495
13.0,76,1082.154095
43.0,66,1235.785797
37.0,94,1244.963259
22.0,61,1430.438804
19.0,88,1438.87343
35.0,63,2044.890002
39.0,92,2054.182253
30.0,52,2059.115043
31.0,64,2119.237754
53.0,103,2224.051706
12.0,84,2234.463299
19.0,52,2239.919891
43.0,53,2245.299444
26.0,49,2294.811705
40.0,76,2305.000111
28.0,65,2364.859285
12.0,60,2447.230616
18.0,63,2516.827275
30.0,66,2523.376357
28.0,74,2561.411912
47.0,64,2590.452485
23.0,65,2595.888687
31.0,94,2604.571717
15.0,76,2686.478833
26.0,149,2768.31652
13.0,83,2814.334459
37.0,77,2861.32549
35.0,62,2898.633214
54.0,57,2904.332415
56.0,90,2912.676131
23.0,77,2959.376095
24.0,62,3197.238708
39.0,64,3360.491231
47.0,65,4200.399205
37.0,94,4255.9548
13.0,91,4287.573022
42.0,56,4357.300919
26.0,71,4457.776269
54.0,90,4604.269526
40.0,81,4651.787525
31.0,52,4790.437594
56.0,84,4798.748468
19.0,76,4903.251709
51.0,65,4928.753369
37.0,80,5095.636197
17.0,50,5154.430762
23.0,64,5186.900956
30.0,115,5356.615762
17.0,74,5364.060023
32.0,72,5550.159201
35.0,70,5714.915017
35.0,67,5788.344042
40.0,67,5796.926322
7.0,69,5849.873681
8.0,63,5914.701091
45.0,68,5958.019128
36.0,52,5980.906141
16.0,82,6059.154451
65.0,82,6123.737211
39.0,88,6132.243867
32.0,79,6187.704396
26.0,78,6918.515132
41.0,62,7010.183856
35.0,61,7052.611579
19.0,65,7213.153046
42.0,68,7219.649627
26.0,97,7232.847593
