#{"t_start": 1673289092.237488, "env_id": "sokoban-turtle-v0"}
r,l,t
22.0,75,45.266154
51.0,54,49.367887
20.0,76,99.809666
2.0,59,133.962288
44.0,75,199.42893
21.0,63,229.775416
13.0,54,234.686849
27.0,83,248.421712
22.0,77,286.142322
49.0,66,314.142774
36.0,50,318.904839
49.0,53,324.090389
45.0,68,352.154274
47.0,58,398.130126
31.0,67,457.451432
30.0,61,463.02798
23.0,75,470.45615
22.0,71,588.965888
44.0,71,595.249967
22.0,99,624.5968
45.0,45,628.895056
56.0,52,843.189378
25.0,96,920.466896
25.0,65,961.227109
17.0,74,1023.639978
39.0,84,1192.148924
47.0,53,1241.413929
34.0,82,1429.119351
31.0,107,1439.282613
31.0,69,2045.686198
46.0,73,2053.183124
29.0,52,2058.320199
28.0,66,2090.977012
15.0,82,2221.112247
20.0,63,2227.299266
33.0,112,2240.594369
17.0,82,2255.098369
29.0,58,2299.091415
45.0,71,2361.610579
32.0,73,2404.151894
44.0,56,2464.550199
8.0,86,2523.730631
14.0,82,2562.719748
36.0,84,2593.497745
29.0,85,2600.951396
37.0,76,2635.601357
17.0,68,2689.244906
18.0,85,2725.348369
24.0,64,2770.730472
28.0,69,2815.443235
32.0,84,2863.323597
29.0,54,2899.616648
25.0,67,2906.456512
25.0,48,2910.868071
26.0,64,2917.160583
31.0,105,3198.27354
35.0,84,3363.357572
65.0,94,4220.93921
27.0,69,4259.046627
29.0,97,4291.567088
34.0,60,4361.491809
54.0,64,4552.349832
49.0,55,4604.554061
12.0,83,4652.026149
16.0,98,4795.335976
12.0,133,4905.428139
21.0,69,4950.345744
42.0,54,5030.503548
41.0,52,5154.646228
30.0,65,5187.343529
13.0,72,5199.359129
15.0,68,5359.252492
8.0,82,5367.629985
17.0,106,5679.796005
39.0,102,5793.791823
48.0,81,5801.414104
45.0,81,5883.03672
44.0,78,5958.534058
43.0,63,5982.881314
26.0,82,6061.179644
40.0,71,6124.655533
31.0,105,6134.568745
47.0,80,6190.157092
37.0,57,6873.53645
32.0,76,7012.192577
5.0,72,7055.554953
33.0,58,7215.777288
41.0,57,7220.91205
35.0,64,7227.324526
30.0,122,7408.038076
48.0,70,7489.644813
43.0,50,7507.792862
43.0,66,7571.796581
26.0,111,7948.778792
17.0,95,8135.028864
26.0,90,8629.762355
61.0,74,8777.87867
23.0,48,8934.444071
41.0,58,9091.886675
22.0,82,9301.619335
27.0,64,9417.876429
22.0,87,9450.202689
59.0,89,9482.127995
17.0,81,9491.761349
54.0,68,9529.918137
61.0,118,9833.48825
45.0,66,9869.415805
19.0,76,9878.666082
60.0,71,9888.592214
12.0,96,10656.674312
48.0,55,10834.237376
34.0,67,10923.42615
28.0,81,11085.971359
43.0,70,11205.883118
23.0,72,11230.790709
19.0,68,11276.289308
60.0,93,11519.991028
36.0,97,11836.18613
21.0,113,11913.842116
60.0,69,11960.19486
39.0,74,12017.698528
48.0,56,12208.651402
38.0,77,12216.305859
9.0,77,12272.40262
19.0,101,12663.492274
39.0,69,12700.478117
70.0,87,12760.177159
44.0,71,12812.796315
24.0,72,13047.957661
23.0,71,13115.703486
35.0,69,13275.36528
49.0,60,13348.94746
38.0,72,13570.905946
58.0,79,13711.604408
-6.0,97,13764.512032
33.0,115,14089.600243
57.0,85,14852.39487
30.0,84,14946.927896
37.0,89,15049.649374
12.0,141,15124.472399
40.0,70,15133.594044
36.0,71,15174.986755
29.0,85,15304.473168
29.0,78,15465.235034
37.0,139,15510.571918
33.0,85,15685.270856
27.0,100,16013.881019
51.0,76,16117.160527
51.0,83,16183.483118
30.0,91,16344.980522
56.0,84,16564.596269
31.0,79,16892.850787
38.0,143,17270.141312
23.0,81,17359.980449
133.0,92,17443.315772
40.0,80,17592.752466
57.0,77,17718.04334
61.0,64,17724.915107
33.0,85,18411.718831
52.0,67,18419.874066
37.0,109,18651.044847
46.0,62,18801.407004
37.0,82,18809.055295
42.0,67,18843.268771
37.0,93,19038.011015
49.0,92,19113.528291
53.0,58,19119.000317
38.0,73,19229.301005
37.0,76,19323.13104
19.0,112,19518.512137
46.0,65,19524.985234
80.0,93,19578.226567
15.0,76,19585.999444
36.0,108,19622.810764
15.0,75,19839.371112
43.0,75,20065.820033
29.0,80,20209.153787
23.0,80,20273.429933
17.0,98,20567.811719
39.0,62,20610.874429
40.0,84,20805.610994
47.0,77,20813.226292
17.0,149,21099.927212
56.0,107,21850.460807
28.0,96,21876.272107
41.0,72,22285.716116
28.0,120,22376.674581
30.0,78,22427.607952
48.0,116,22488.564534
47.0,121,22528.496507
16.0,136,22840.618994
38.0,119,23076.149483
27.0,93,23204.998418
21.0,110,23525.394327
22.0,94,23711.83055
51.0,171,23888.404993
23.0,102,24066.987223
56.0,74,24080.985726
35.0,78,24138.872648
62.0,59,24249.032258
52.0,93,24367.909734
38.0,88,24390.401303
24.0,73,24411.539855
24.0,85,25228.350014
0.0,79,25288.423748
69.0,93,25527.606212
46.0,73,25754.728798
66.0,69,25852.838588
45.0,90,25901.64522
42.0,104,26084.64815
43.0,96,26140.264342
18.0,83,26303.691184
46.0,125,26399.300519
50.0,80,26494.603546
50.0,134,26808.293619
36.0,84,26881.94664
52.0,112,26916.035301
38.0,133,27086.19632
44.0,97,27316.216779
44.0,79,27453.143797
49.0,123,27707.151331
46.0,97,28021.034701
65.0,91,28159.281759
43.0,75,28284.454302
42.0,95,28428.051913
26.0,150,29433.47743
9.0,129,29450.348994
