#{"t_start": 1684666316.9818573, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
19.0,38,7.133483,0,2,0
14.0,125,48.266892,0,2,0
23.0,24,61.373319,0,2,0
15.0,47,77.656856,0,2,0
27.0,105,121.919489,22,2,0.0
40.0,23,171.638353,16,1,0.0
10.0,125,209.47818,0,2,0
14.0,68,221.629517,0,1,0
4.0,125,250.084908,0,1,0
36.0,35,279.30547,8,1,0.45
8.0,40,291.224681,0,1,0
24.0,20,291.37861,0,1,0
13.0,19,291.482798,0,1,0
10.0,72,332.073076,0,1,0
3.0,32,346.012785,0,1,0
29.0,3,358.255257,20,1,0.0
5.0,91,387.437206,0,2,0
15.0,67,400.225065,0,1,0
23.0,20,409.903674,0,2,0
10.0,15,422.037224,0,1,0
28.0,25,449.674262,15,1,0.0
9.0,125,504.811026,0,2,0
10.0,125,553.196027,0,1,0
23.0,66,595.411333,10,1,0.2
9.0,39,598.118821,0,1,0
10.0,125,624.492985,0,1,0
10.0,125,674.751856,0,1,0
9.0,39,689.269338,0,1,0
13.0,123,696.345193,0,1,0
19.0,31,713.123482,0,1,0
13.0,36,732.699747,0,1,0
10.0,89,770.492117,0,2,0
19.0,16,796.791402,0,1,0
4.0,58,810.816795,0,1,0
13.0,61,838.483576,0,1,0
14.0,32,838.674942,0,1,0
8.0,34,869.243407,8,1,0.75
9.0,65,905.76867,0,1,0
25.0,30,911.640199,0,2,0
18.0,47,917.889911,0,1,0
4.0,97,931.637857,0,1,0
35.0,23,952.401447,8,1,0.35
19.0,71,965.231427,0,1,0
-5.0,87,1028.032734,0,2,0
29.0,26,1028.227613,0,2,0
10.0,125,1074.983507,0,2,0
19.0,20,1077.481673,0,1,0
14.0,119,1102.57251,0,1,0
23.0,35,1102.754143,0,2,0
13.0,24,1115.118421,0,1,0
19.0,14,1138.057643,0,1,0
18.0,28,1150.671554,0,2,0
38.0,26,1151.056668,0,1,0
19.0,20,1151.174154,0,1,0
18.0,85,1182.593206,0,1,0
5.0,125,1195.204008,0,1,0
13.0,20,1195.298022,0,2,0
9.0,125,1252.714692,0,2,0
14.0,35,1265.302175,0,1,0
15.0,72,1285.016808,0,2,0
10.0,70,1330.619979,0,2,0
19.0,31,1347.730522,0,1,0
14.0,37,1353.065167,0,1,0
15.0,80,1395.544779,0,1,0
9.0,38,1408.170632,0,1,0
13.0,34,1420.673585,0,2,0
23.0,58,1455.995001,0,1,0
14.0,34,1469.374836,0,2,0
10.0,125,1499.095448,0,1,0
20.0,14,1499.170658,0,2,0
23.0,33,1551.357004,0,1,0
9.0,125,1688.545946,0,2,0
20.0,13,1707.047782,15,1,0.0
5.0,125,1762.280833,0,2,0
20.0,23,1775.075421,11,1,0.0
24.0,98,1814.436317,10,2,0.05
19.0,32,1814.717474,0,1,0
9.0,111,1862.98676,0,1,0
15.0,54,1877.396269,0,2,0
9.0,15,1896.404863,0,1,0
20.0,16,1896.54578,0,1,0
14.0,62,1934.387051,0,0,0
19.0,48,1954.684363,0,1,0
24.0,20,1966.639132,0,1,0
15.0,17,1966.773897,0,2,0
23.0,51,1977.773865,0,2,0
5.0,89,1999.969325,0,0,0
19.0,38,2008.459452,0,1,0
9.0,125,2063.507644,0,1,0
13.0,21,2063.606363,0,2,0
10.0,64,2098.403153,0,1,0
14.0,23,2113.293911,0,1,0
28.0,27,2113.454098,0,1,0
10.0,48,2118.72983,0,1,0
18.0,33,2122.712581,0,1,0
15.0,125,2153.662052,0,2,0
19.0,64,2176.213105,0,1,0
18.0,95,2197.004845,0,1,0
10.0,41,2200.10724,0,1,0
24.0,12,2200.18422,0,1,0
20.0,46,2216.96105,0,1,0
13.0,94,2226.934894,0,1,0
38.0,29,2243.093192,16,1,0.15
9.0,125,2292.589622,0,1,0
5.0,125,2396.544025,0,1,0
27.0,18,2421.003989,0,1,0
14.0,125,2458.829982,0,1,0
5.0,33,2487.785085,0,0,0
10.0,27,2500.070981,0,1,0
13.0,16,2524.510594,0,1,0
38.0,25,2547.771102,14,1,0.0
19.0,20,2562.601933,0,1,0
8.0,35,2562.810707,0,2,0
9.0,125,2603.678754,0,2,0
27.0,48,2622.344073,10,1,0.15
12.0,30,2634.131236,5,1,1.0
19.0,21,2655.63925,0,2,0
18.0,32,2688.800758,0,2,0
4.0,125,2722.86463,0,1,0
8.0,14,2722.991606,0,1,0
20.0,33,2747.10052,0,2,0
25.0,27,2783.636282,9,1,0.1
15.0,26,2805.901896,0,2,0
13.0,26,2825.974961,9,1,0.55
31.0,12,2843.182557,8,1,0.45
6.0,125,2863.335154,0,2,0
9.0,74,2864.099637,0,1,0
13.0,61,2885.417824,0,1,0
18.0,18,2916.843979,6,1,0.0
10.0,125,2924.143951,0,1,0
33.0,75,2961.348702,13,1,0.05
9.0,125,2986.898666,0,1,0
24.0,24,2998.04949,0,1,0
25.0,18,2998.192886,0,2,0
19.0,22,2998.35131,0,1,0
24.0,23,3037.428435,0,1,0
17.0,35,3061.061634,6,1,0.15
22.0,16,3073.415022,18,1,0.0
5.0,88,3111.045348,0,2,0
19.0,40,3111.242267,0,2,0
31.0,68,3157.87086,9,1,0.15
19.0,17,3169.876954,0,1,0
30.0,15,3182.122021,16,1,0.05
30.0,15,3216.217158,17,1,0.0
-10.0,14,3235.780794,5,1,0.95
32.0,40,3266.531111,7,1,0.1
10.0,92,3323.344093,0,2,0
24.0,115,3399.592056,0,1,0
18.0,19,3410.746018,0,1,0
