#{"t_start": 1684547319.0182073, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
19.0,18,4.39424,0,2,0
-2.0,15,20.09421,4,1,1.0
13.0,9,32.26751,4,1,0.0
25.0,16,47.093628,0,2,0
9.0,38,48.931994,0,2,0
33.0,35,71.616238,8,1,0.35
17.0,47,94.676834,11,1,0.05
15.0,20,94.848932,0,1,0
24.0,36,109.441419,0,1,0
14.0,65,179.228159,0,1,0
5.0,41,191.718112,0,2,0
29.0,31,205.496039,0,1,0
10.0,125,288.641434,0,1,0
15.0,26,317.083266,0,2,0
18.0,17,328.882983,0,2,0
10.0,14,329.019253,0,1,0
5.0,32,349.516926,0,4,0
8.0,75,432.559438,0,1,0
23.0,12,454.659382,0,1,0
5.0,40,476.199815,0,1,0
6.0,25,476.407411,0,1,0
9.0,35,501.815392,0,2,0
33.0,13,514.095572,14,1,0.0
19.0,17,514.230496,0,1,0
27.0,22,560.43623,11,1,0.35
0.0,10,560.513443,0,1,0
10.0,40,569.574181,0,2,0
4.0,31,581.18605,0,2,0
13.0,25,601.389148,0,2,0
27.0,19,613.660311,8,1,0.0
14.0,14,623.19874,0,1,0
15.0,20,635.036443,0,1,0
14.0,56,657.134247,0,1,0
18.0,82,706.334986,0,1,0
5.0,85,753.970205,0,2,0
-2.0,13,767.400867,4,1,1.0
9.0,18,779.871716,0,1,0
19.0,32,792.424231,0,1,0
24.0,22,806.445717,0,1,0
20.0,15,829.398271,0,1,0
24.0,34,837.340005,0,2,0
28.0,15,837.47499,0,1,0
9.0,15,837.637385,0,1,0
16.0,19,837.753288,0,2,0
20.0,70,907.784397,0,2,0
10.0,48,932.765037,0,1,0
28.0,25,961.268656,0,1,0
25.0,4,973.458668,16,1,0.0
18.0,26,985.916808,0,2,0
0.0,65,1006.419185,0,0,0
24.0,20,1008.21934,0,1,0
15.0,18,1008.359307,0,1,0
14.0,54,1022.562298,0,1,0
24.0,17,1022.789528,0,1,0
14.0,44,1069.211955,0,2,0
19.0,23,1079.663188,0,1,0
19.0,22,1105.846154,0,1,0
24.0,86,1148.34514,0,1,0
24.0,19,1160.813668,0,1,0
9.0,53,1190.635038,0,2,0
14.0,48,1206.205785,0,2,0
20.0,34,1244.396109,0,2,0
21.0,12,1256.698256,8,1,0.0
0.0,32,1293.866996,0,1,0
10.0,57,1306.021154,0,2,0
20.0,2,1330.372095,15,1,0.0
24.0,62,1385.64164,0,1,0
15.0,21,1398.095837,0,1,0
-4.0,42,1448.005027,0,2,0
10.0,24,1455.797119,0,2,0
24.0,52,1517.243117,8,1,0.1
8.0,51,1548.774008,6,1,0.85
21.0,16,1569.91941,0,1,0
24.0,88,1618.125925,0,1,0
15.0,17,1618.383753,0,1,0
4.0,25,1630.748143,0,1,0
29.0,22,1642.25173,0,1,0
13.0,34,1662.353762,0,1,0
13.0,6,1674.010995,8,1,0.05
36.0,16,1686.368704,18,2,0.0
27.0,22,1686.545417,0,1,0
18.0,27,1722.418661,0,2,0
10.0,35,1740.687813,0,1,0
10.0,125,1779.562053,0,2,0
10.0,31,1782.95292,0,1,0
15.0,12,1783.043656,0,0,0
26.0,50,1823.992717,12,1,0.05
15.0,16,1834.081645,0,0,0
7.0,21,1843.251891,4,1,0.8
10.0,16,1855.618461,0,2,0
12.0,10,1855.731434,0,1,0
18.0,28,1870.312005,0,1,0
19.0,44,1882.906051,0,2,0
24.0,18,1907.531979,0,1,0
9.0,125,1973.698137,0,1,0
13.0,71,1986.375316,0,1,0
18.0,21,1992.90923,0,1,0
9.0,33,2017.336456,0,2,0
15.0,55,2050.831681,0,2,0
9.0,33,2051.117068,0,1,0
4.0,125,2170.550403,0,1,0
18.0,23,2186.806607,0,1,0
9.0,23,2199.581037,0,1,0
13.0,23,2236.066833,0,2,0
24.0,15,2236.185773,0,2,0
16.0,6,2259.703287,10,1,0.1
4.0,32,2284.591532,6,1,0.75
19.0,30,2296.973521,0,1,0
10.0,59,2320.526855,0,1,0
0.0,95,2370.091579,0,1,0
10.0,23,2370.300431,0,2,0
5.0,14,2370.445151,0,1,0
5.0,125,2416.810345,0,1,0
14.0,79,2503.1756,0,1,0
14.0,24,2538.544117,0,1,0
19.0,25,2561.505997,0,1,0
5.0,63,2574.22135,0,3,0
19.0,21,2605.674224,0,1,0
0.0,46,2609.15217,0,1,0
14.0,63,2652.390867,0,1,0
10.0,52,2696.29203,0,2,0
25.0,33,2728.939999,0,3,0
4.0,16,2729.080199,0,2,0
-9.0,32,2752.330737,3,1,0.8
9.0,20,2758.98156,0,1,0
19.0,32,2795.066652,0,1,0
9.0,125,2842.521216,0,1,0
22.0,20,2866.64222,12,1,0.05
19.0,32,2903.855203,6,1,0.2
14.0,93,2972.135374,0,1,0
14.0,18,2984.334175,0,1,0
14.0,125,3010.362321,0,1,0
13.0,19,3011.515179,0,2,0
5.0,44,3016.126099,0,2,0
25.0,26,3039.640468,0,1,0
19.0,16,3052.039231,0,2,0
24.0,30,3077.394374,0,1,0
6.0,24,3098.794689,0,0,0
10.0,47,3139.483023,0,0,0
18.0,36,3189.544761,0,1,0
29.0,39,3230.106763,0,1,0
18.0,74,3258.348229,0,1,0
10.0,97,3282.718939,0,1,0
10.0,29,3286.824373,3,1,0.85
8.0,55,3323.038981,0,1,0
35.0,25,3359.155942,6,1,0.05
10.0,14,3359.308665,0,1,0
20.0,17,3371.725011,0,1,0
8.0,20,3384.088104,0,2,0
9.0,78,3401.534341,0,2,0
22.0,15,3414.5722,0,3,0
9.0,32,3425.212724,0,1,0
14.0,35,3447.852275,0,1,0
27.0,23,3458.342791,9,1,0.2
18.0,37,3458.600388,0,1,0
10.0,27,3458.79649,0,1,0
22.0,17,3458.913471,0,2,0
9.0,34,3483.048576,0,1,0
10.0,27,3497.990229,0,3,0
24.0,43,3498.261039,0,2,0
22.0,26,3498.458613,0,2,0
43.0,15,3510.692885,28,2,0.0
14.0,43,3523.37156,0,2,0
3.0,40,3538.537603,8,1,0.95
24.0,54,3550.709784,0,1,0
-5.0,23,3577.679496,5,1,1.0
19.0,16,3615.932813,0,1,0
31.0,16,3637.336343,16,1,0.0
14.0,21,3654.115824,0,3,0
9.0,22,3654.302395,0,2,0
4.0,17,3666.762998,0,1,0
13.0,83,3727.746292,0,1,0
37.0,52,3757.616049,13,1,0.25
