#{"t_start": 1685359607.7252314, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
-6.0,60,12.286125,False
-6.0,60,12.988889,False
-6.0,60,13.639747,False
-6.0,60,14.254307,False
-6.0,60,14.886573,False
-6.0,60,15.543157,False
-6.0,60,16.334562,False
-6.0,60,17.134875,False
-6.0,60,18.086473,False
-6.0,60,19.014161,False
-6.0,60,20.177491,False
-6.0,60,21.208411,False
-6.0,60,22.275058,False
-6.0,60,23.254961,False
-6.0,60,24.270102,False
-6.0,60,25.294551,False
-6.0,60,26.349984,False
-6.0,60,27.424639,False
-6.0,60,28.492321,False
-6.0,60,29.565336,False
-6.0,60,30.822228,False
-6.0,60,31.930116,False
-6.0,60,33.001865,False
-6.0,60,34.031604,False
-6.0,60,35.064145,False
-6.0,60,36.065644,False
-6.0,60,37.075976,False
-6.0,60,38.150731,False
-6.0,60,39.216342,False
-6.0,60,40.28616,False
-6.0,60,41.290855,False
-6.0,60,42.470904,False
-6.0,60,43.506256,False
-6.0,60,44.43756,False
-6.0,60,104.501443,False
-6.0,60,105.537285,False
-6.0,60,106.533477,False
-6.0,60,107.56733,False
-6.0,60,108.613962,False
-6.0,60,109.697019,False
-6.0,60,110.757177,False
-6.0,60,111.991902,False
-6.0,60,113.028636,False
-6.0,60,114.086792,False
-6.0,60,115.140806,False
-6.0,60,116.182764,False
-6.0,60,117.269938,False
-6.0,60,118.29559,False
-6.0,60,119.350885,False
-6.0,60,120.328777,False
-6.0,60,121.36136,False
-6.0,60,122.408236,False
-6.0,60,123.596379,False
-6.0,60,124.677996,False
-6.0,60,125.709689,False
-6.0,60,126.744046,False
-6.0,60,127.784671,False
-6.0,60,128.846799,False
-6.0,60,129.914707,False
-6.0,60,130.954774,False
-6.0,60,132.000203,False
-6.0,60,133.056128,False
-6.0,60,134.258539,False
-6.0,60,135.338987,False
-6.0,60,136.39711,False
-6.0,60,137.438811,False
-6.0,60,138.48179,False
-6.0,60,139.538951,False
-6.0,60,199.444934,False
-6.0,60,200.507606,False
-6.0,60,201.501132,False
-6.0,60,202.606267,False
-6.0,60,203.833038,False
-6.0,60,204.92762,False
-6.0,60,206.025987,False
-6.0,60,207.11976,False
-6.0,60,208.189389,False
-6.0,60,209.258125,False
-6.0,60,210.326699,False
-6.0,60,211.388165,False
-6.0,60,212.434802,False
-6.0,60,213.489784,False
-6.0,60,214.533283,False
-6.0,60,215.763084,False
-6.0,60,216.854788,False
-6.0,60,217.899156,False
-6.0,60,218.926238,False
-6.0,60,219.93223,False
-6.0,60,220.991842,False
-6.0,60,222.072995,False
-6.0,60,223.113078,False
-6.0,60,224.139297,False
-6.0,60,225.160019,False
-6.0,60,226.378874,False
-6.0,60,227.434836,False
-6.0,60,228.477157,False
-6.0,60,229.451991,False
-6.0,60,230.486258,False
-6.0,60,231.532405,False
-6.0,60,232.589346,False
-6.0,60,233.602845,False
-6.0,60,234.676738,False
-6.0,60,295.438966,False
-6.0,60,296.498266,False
-6.0,60,297.741375,False
-6.0,60,298.846328,False
-6.0,60,299.883048,False
-6.0,60,300.882666,False
-6.0,60,301.915382,False
-6.0,60,302.943062,False
-6.0,60,303.930471,False
-6.0,60,304.964903,False
-6.0,60,306.046085,False
-6.0,60,307.112724,False
-6.0,60,308.388486,False
-6.0,60,309.49345,False
-6.0,60,310.549967,False
-6.0,60,311.58109,False
-6.0,60,312.657566,False
-6.0,60,313.755329,False
-6.0,60,314.80917,False
-6.0,60,315.864107,False
-6.0,60,316.930219,False
-6.0,60,317.99051,False
-6.0,60,319.041667,False
-6.0,60,320.245234,False
-6.0,60,321.278063,False
-6.0,60,322.336456,False
-6.0,60,323.359574,False
-6.0,60,324.368724,False
-6.0,60,325.369708,False
-6.0,60,326.421571,False
-6.0,60,327.454695,False
-6.0,60,328.456063,False
-6.0,60,329.431319,False
-6.0,60,330.558437,False
-6.0,60,389.574323,False
-6.0,60,390.633074,False
-6.0,60,391.644236,False
-6.0,60,392.729205,False
-6.0,60,393.786733,False
-6.0,60,394.81051,False
-6.0,60,395.793967,False
-6.0,60,396.835303,False
-6.0,60,397.907008,False
-6.0,60,399.099948,False
-6.0,60,400.162892,False
-6.0,60,401.195002,False
-6.0,60,402.258219,False
-6.0,60,403.494148,False
-6.0,60,404.574723,False
-6.0,60,405.612609,False
-6.0,60,406.662597,False
