#{"t_start": 1684436456.7491343, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
5.0,9,1.895063,0,1,0
-18.0,8,1.935079,0,0,0
0.0,11,1.982071,0,1,0
-3.0,14,2.037676,0,2,0
6.0,8,2.064776,0,1,0
4.0,11,2.099574,0,1,0
9.0,8,2.159081,0,1,0
-9.0,10,2.205293,0,1,0
-4.0,8,2.247517,0,1,0
-5.0,15,2.305286,0,0,0
1.0,10,2.337714,0,1,0
-9.0,15,2.392437,0,4,0
9.0,15,2.443757,0,1,0
-5.0,5,2.473013,0,2,0
1.0,9,2.51213,0,2,0
-5.0,11,2.581233,0,3,0
0.0,8,2.617532,0,0,0
5.0,15,2.67573,0,3,0
-8.0,10,2.716925,0,4,0
0.0,12,2.767783,0,1,0
0.0,8,2.804626,0,1,0
0.0,13,2.867369,0,0,0
10.0,6,2.89402,0,2,0
-4.0,15,2.942501,0,3,0
-5.0,14,3.004189,0,2,0
1.0,11,3.060921,0,1,0
5.0,17,3.126373,0,2,0
5.0,24,3.214966,0,2,0
-4.0,12,3.252303,0,4,0
0.0,6,3.271545,0,2,0
4.0,7,3.305702,0,2,0
9.0,10,3.339932,0,1,0
5.0,14,3.3973,0,1,0
9.0,5,3.413567,0,1,0
-9.0,11,3.455225,0,1,0
5.0,15,5.235907,0,1,0
-5.0,9,5.296614,0,4,0
-5.0,9,5.356922,0,3,0
5.0,12,5.41208,0,3,0
-5.0,10,5.466296,0,2,0
21.0,13,5.540633,12,1,0
4.0,8,5.574842,0,1,0
10.0,7,5.607831,0,2,0
0.0,9,5.65636,0,2,0
15.0,10,5.720259,0,2,0
-1.0,13,5.821139,0,1,0
4.0,14,5.888535,0,1,0
-5.0,5,5.921485,0,2,0
-5.0,12,5.982625,0,0,0
-4.0,9,6.026112,0,1,0
1.0,6,6.051971,0,3,0
0.0,11,6.101115,0,3,0
-3.0,13,6.365698,0,2,0
-17.0,16,6.460365,0,0,0
-14.0,13,6.527692,0,0,0
