#{"t_start": 1683866334.7867472, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
11.0,27,48.074944,0,3,0
14.0,10,49.927198,0,2,0
20.0,12,53.054773,0,2,0
20.0,5,69.142874,6,1,0.25
-18.0,35,80.766641,6,1,0.45
12.0,16,164.419477,6,1,0.0
5.0,30,233.665642,0,2,0
2.0,41,265.544084,0,1,0
21.0,20,265.747436,0,2,0
26.0,15,269.050769,0,1,0
5.0,13,269.248347,0,2,0
14.0,54,386.602042,0,1,0
9.0,4,413.928332,3,1,0.45
7.0,19,464.039511,0,2,0
5.0,21,491.943248,0,1,0
9.0,28,524.380074,0,1,0
0.0,25,580.590519,0,1,0
-3.0,117,754.884873,0,3,0
7.0,44,816.104705,0,1,0
14.0,23,832.567745,0,1,0
15.0,46,863.337081,0,3,0
14.0,15,864.588894,0,1,0
19.0,10,882.343505,0,1,0
24.0,30,918.841954,0,1,0
7.0,29,1014.245068,0,1,0
21.0,27,1114.91512,0,2,0
7.0,16,1148.032818,0,2,0
10.0,10,1160.879475,0,2,0
9.0,23,1161.12867,0,1,0
16.0,18,1208.992207,0,3,0
9.0,18,1220.893293,0,2,0
7.0,23,1253.209386,0,2,0
4.0,38,1300.639969,0,2,0
2.0,92,1478.630811,0,2,0
12.0,22,1478.8771,0,1,0
34.0,13,1495.140029,0,1,0
5.0,40,1560.296655,0,1,0
29.0,19,1613.976558,0,3,0
11.0,22,1660.261356,0,0,0
19.0,16,1660.647355,0,2,0
14.0,17,1692.688281,0,1,0
17.0,12,1709.049293,0,1,0
18.0,28,1739.193183,0,1,0
9.0,13,1752.300272,0,2,0
18.0,10,1781.531838,6,1,0.35
6.0,121,1965.143735,0,3,0
8.0,27,1965.398845,0,1,0
5.0,19,1967.840879,6,1,1.0
21.0,16,1997.710409,0,3,0
16.0,13,2013.91961,0,2,0
-6.0,24,2014.427043,0,1,0
2.0,18,2036.814404,0,2,0
-11.0,74,2175.637839,5,1,1.0
20.0,19,2176.026481,0,2,0
19.0,29,2199.078842,0,1,0
40.0,18,2250.267858,7,2,0.35
15.0,15,2266.654968,0,3,0
10.0,16,2266.840485,0,2,0
