#{"t_start": 1684646331.7930632, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
10.4,6,14.729113,True
10.4,6,14.843817,True
10.5,5,14.928788,True
10.6,4,15.002518,True
10.5,5,15.079545,True
10.5,5,15.150817,True
9.3,17,15.406863,True
10.2,8,15.518931,True
10.5,5,15.589424,True
10.4,6,15.675216,True
10.4,6,15.74492,True
10.4,6,15.821241,True
10.6,4,15.875893,True
10.4,6,15.951225,True
10.5,5,16.014337,True
9.8,12,16.172352,True
10.1,9,16.285047,True
9.5,15,16.456874,True
9.2,18,16.668165,True
9.9,11,16.813618,True
9.5,15,17.005848,True
10.3,7,17.103026,True
10.6,4,17.152218,True
10.1,9,17.271273,True
10.6,4,17.324553,True
10.0,10,17.453342,True
10.5,5,17.514632,True
10.5,5,17.575753,True
9.9,11,17.695165,True
-2.0,20,17.927697,False
10.5,5,17.995169,True
10.0,10,18.12095,True
10.5,5,18.183021,True
10.5,5,18.2507,True
10.0,10,18.377271,True
10.4,6,18.464641,True
10.4,6,18.547817,True
10.6,4,18.597112,True
10.6,4,18.657645,True
10.2,8,18.782873,True
10.6,4,18.840412,True
10.4,6,18.924896,True
9.7,13,19.120041,True
10.6,4,19.180573,True
10.5,5,19.260915,True
10.5,5,19.332016,True
10.1,9,19.475049,True
10.2,8,19.592038,True
9.2,18,19.888181,True
10.6,4,19.950012,True
9.7,13,20.159873,True
10.6,4,20.227077,True
10.6,4,20.297019,True
10.6,4,20.353128,True
10.6,4,20.410487,True
10.5,5,20.489658,True
10.5,5,20.562995,True
10.3,7,20.661418,True
10.5,5,20.74297,True
10.1,9,20.894331,True
10.6,4,20.960238,True
10.4,6,21.06331,True
10.6,4,21.135308,True
10.5,5,21.22646,True
10.4,6,21.345491,True
10.4,6,21.45216,True
10.5,5,21.549029,True
10.4,6,21.648896,True
10.4,6,21.748567,True
10.4,6,21.852484,True
10.2,8,21.993154,True
10.1,9,22.141713,True
10.3,7,22.262438,True
10.6,4,22.327832,True
10.5,5,22.428709,True
10.6,4,22.495175,True
10.3,7,22.621325,True
10.5,5,22.716246,True
10.5,5,22.804099,True
10.6,4,22.875569,True
10.6,4,22.952331,True
10.4,6,23.05406,True
9.9,11,23.23884,True
10.6,4,23.307957,True
10.5,5,23.389806,True
10.6,4,23.467179,True
10.5,5,23.555948,True
9.9,11,23.742511,True
10.1,9,23.901332,True
10.4,6,24.000876,True
10.5,5,24.1705,True
10.2,8,24.311574,True
10.5,5,24.413752,True
10.5,5,24.500701,True
10.1,9,24.644491,True
10.1,9,24.795629,True
10.2,8,24.950352,True
10.6,4,25.019766,True
10.5,5,25.113204,True
10.4,6,25.222529,True
10.3,7,25.337569,True
10.3,7,25.45401,True
10.4,6,25.560004,True
9.6,14,25.821724,True
10.5,5,25.916656,True
10.5,5,26.009085,True
9.9,11,26.199837,True
10.1,9,26.357941,True
10.2,8,26.502733,True
10.0,10,26.674746,True
10.6,4,26.739078,True
10.6,4,26.815577,True
10.6,4,26.890554,True
10.2,8,27.028223,True
10.4,6,27.133913,True
