#{"t_start": 1673345626.5625799, "env_id": "sokoban-turtle-v0"}
r,l,t
32.0,113,106.437912
51.0,79,421.996161
12.0,145,683.818944
62.0,129,1253.779135
42.0,69,1395.419439
42.0,76,1571.405324
14.0,104,1923.715613
35.0,60,1994.007837
15.0,87,2254.579458
11.0,73,2508.721196
51.0,83,2628.434895
23.0,336,3278.169087
48.0,68,3449.00118
55.0,63,3534.33596
68.0,90,3755.619297
51.0,59,3809.848815
30.0,136,3926.059238
49.0,85,3934.667315
15.0,146,4271.761189
26.0,120,5008.010343
48.0,100,5127.767011
20.0,156,5468.444375
25.0,310,6305.834269
50.0,82,6527.907054
31.0,153,6668.558456
30.0,70,7004.01424
38.0,81,7145.710863
70.0,125,7506.469081
40.0,70,7651.954754
42.0,114,7728.831163
34.0,89,8135.205118
43.0,164,8435.943002
29.0,131,8919.550704
27.0,80,9160.070486
43.0,101,9266.544223
37.0,126,9673.617946
37.0,83,10389.15305
30.0,109,10535.377287
42.0,110,10817.968455
56.0,93,10886.449069
33.0,71,11047.216833
14.0,129,11485.864698
22.0,205,11702.581695
45.0,71,11763.843546
37.0,118,11879.76458
30.0,90,11904.316967
40.0,69,11983.790886
27.0,143,12495.178066
67.0,62,12531.655325
39.0,86,12606.00927
32.0,150,12752.594706
38.0,118,13020.437375
54.0,65,13125.006036
64.0,113,13278.685482
32.0,74,13493.6107
43.0,101,13679.452043
15.0,74,14411.103024
41.0,142,14575.969451
31.0,134,14847.673522
32.0,194,15095.075648
38.0,76,15102.390541
28.0,164,15388.454374
39.0,69,15449.519509
53.0,82,15512.620621
43.0,69,15526.240282
21.0,170,15833.937725
60.0,77,16017.388443
16.0,137,16335.915692
43.0,110,16534.269901
44.0,82,16655.645929
19.0,108,16824.08772
36.0,97,16941.02245
12.0,143,17237.918624
33.0,244,18011.030078
27.0,77,18058.857834
19.0,185,18242.297062
40.0,111,18331.619437
28.0,92,18340.274208
51.0,90,18558.505528
18.0,100,18648.257452
45.0,89,18727.693418
46.0,161,19217.474077
51.0,90,19455.565333
35.0,87,19625.419171
61.0,103,19679.784811
30.0,69,19715.824386
21.0,92,19793.488344
28.0,165,20083.659593
42.0,89,20227.887892
36.0,131,20660.190708
38.0,251,21806.737442
36.0,87,21918.172577
33.0,145,22039.055062
38.0,111,22250.166669
22.0,246,22818.011751
42.0,129,23199.960055
16.0,114,23530.883007
52.0,80,23669.605314
12.0,303,24476.309769
29.0,81,24846.319053
64.0,83,25148.382325
9.0,236,25310.329621
28.0,161,25494.200702
36.0,106,25668.005251
49.0,131,26740.134673
46.0,76,26950.460679
53.0,73,27258.547873
38.0,89,27601.919703
25.0,203,28073.492437
22.0,399,28539.90894
41.0,65,28628.621521
42.0,115,28726.748825
33.0,127,29178.578639
46.0,110,29384.482052
67.0,124,29574.911922
28.0,98,29702.011699
45.0,91,29761.045244
23.0,111,29967.838503
27.0,168,30366.180354
49.0,113,30538.302069
58.0,117,31352.587458
48.0,98,31409.616026
33.0,93,31469.965391
29.0,132,31551.045944
48.0,63,31590.623903
45.0,248,31921.24529
42.0,65,32047.476402
30.0,85,32068.914957
32.0,147,32213.383611
55.0,64,32260.894892
51.0,65,32287.880822
25.0,87,32489.833288
23.0,105,32751.022903
14.0,191,33054.935573
17.0,116,33183.154127
18.0,195,33364.443914
76.0,67,33376.255908
27.0,184,33839.149673
16.0,189,34745.724033
27.0,103,34914.435571
29.0,103,34959.637681
37.0,244,35229.85574
55.0,85,35309.260314
35.0,197,35640.991832
23.0,217,35802.480649
67.0,99,35956.355501
13.0,150,36311.53231
68.0,59,36404.202878
28.0,93,36569.818313
37.0,170,36669.82687
46.0,145,37136.916941
16.0,134,37345.378157
45.0,229,38314.504827
31.0,144,38641.56906
51.0,61,38717.915396
53.0,119,39069.709187
20.0,171,39528.693762
56.0,110,39661.3224
36.0,109,39922.79628
76.0,134,40289.893211
37.0,119,40546.929915
51.0,84,40600.0224
14.0,165,40844.677151
42.0,99,41104.096466
44.0,143,41226.845446
48.0,184,41548.500774
35.0,158,41875.371603
48.0,98,42631.57951
43.0,98,42893.831455
37.0,161,43185.022629
27.0,161,43531.185847
56.0,95,43834.431515
40.0,176,44154.315343
52.0,116,44311.152851
41.0,155,44644.836616
25.0,128,44847.569295
28.0,88,45005.168231
20.0,206,45201.047918
43.0,87,45475.029701
18.0,140,45570.799958
33.0,80,45623.8878
40.0,107,45726.770688
47.0,122,45970.26742
56.0,96,46094.478968
46.0,177,47182.724029
50.0,179,47472.994362
36.0,130,47557.31935
32.0,147,47650.104939
40.0,204,48079.001379
46.0,143,48165.506466
40.0,149,48560.328931
36.0,102,48863.485301
40.0,102,49093.746922
19.0,288,49853.10944
42.0,111,50135.775703
27.0,137,50390.110424
46.0,120,50647.373579
33.0,116,51492.635317
54.0,73,51580.160105
38.0,83,51643.581302
31.0,48,51709.323874
17.0,924,53191.609673
45.0,220,53575.462552
36.0,130,53675.690324
50.0,63,53748.995257
48.0,85,54069.128905
45.0,205,54315.10187
10.0,291,55211.690212
36.0,107,55533.718868
21.0,91,55618.310879
26.0,114,55833.657496
43.0,87,55884.463789
18.0,304,56467.924733
53.0,115,56649.430358
58.0,85,56720.103978
50.0,82,56922.542741
59.0,138,57309.083188
20.0,293,57891.510303
46.0,105,58009.314665
84.0,302,58471.145964
31.0,448,59756.282433
31.0,84,59870.159451
23.0,165,59979.119075
48.0,67,60177.455405
43.0,118,60518.462398
35.0,82,60899.568898
50.0,141,61372.293357
35.0,114,61550.185187
30.0,240,62003.774611
47.0,183,62493.381166
26.0,183,62829.477033
36.0,316,63280.483356
50.0,92,63939.87666
49.0,101,64116.510333
31.0,197,64552.730992
48.0,241,65178.024171
63.0,74,65193.360732
33.0,194,65517.500786
34.0,108,65707.414334
31.0,191,65969.282727
59.0,287,66508.370974
29.0,141,66733.515555
66.0,111,66923.084017
18.0,147,67303.291889
17.0,161,67543.515877
57.0,72,68235.820364
43.0,200,68589.632431
39.0,199,68827.720543
34.0,131,69040.695854
26.0,915,70533.045914
44.0,125,70649.624959
43.0,157,70828.044054
61.0,287,71738.96545
22.0,110,71809.706808
27.0,287,72464.636279
58.0,686,73029.53694
39.0,110,73171.852423
26.0,329,73698.25021
53.0,204,74020.440727
14.0,201,74384.509776
47.0,80,74456.552124
21.0,166,75184.540618
32.0,113,75258.952157
22.0,445,75796.03458
41.0,87,75978.92449
31.0,346,76673.858207
31.0,192,77134.532827
44.0,136,77347.461824
51.0,280,77608.316776
45.0,86,77630.217805
35.0,259,78545.882361
11.0,196,79024.817233
42.0,182,79271.110571
32.0,554,80147.349455
28.0,352,80782.680892
42.0,146,81163.232575
38.0,204,81529.710715
60.0,114,81667.890378
60.0,168,82187.991962
55.0,110,83151.691052
41.0,87,83440.420027
45.0,165,83701.635766
26.0,330,84421.120691
38.0,389,84952.22504
20.0,445,85500.34668
