#{"t_start": 1673345626.9748158, "env_id": "sokoban-turtle-v0"}
r,l,t
19.0,135,173.1453
30.0,77,470.716451
33.0,82,592.273106
31.0,109,1039.853662
36.0,156,1457.072016
45.0,83,1710.840197
38.0,105,1939.56239
24.0,135,2431.240078
37.0,110,2531.922911
17.0,56,2756.316165
52.0,71,2861.103902
56.0,58,3005.538821
49.0,100,3136.36575
18.0,86,3286.942336
33.0,113,3533.09785
34.0,100,3755.257174
35.0,134,3919.821473
34.0,100,3929.653594
55.0,166,4196.981342
33.0,97,4969.644074
41.0,82,5047.793963
24.0,116,5198.763919
49.0,90,5439.287162
59.0,99,5626.512242
26.0,105,5980.28479
50.0,116,6304.947599
54.0,76,6496.560168
21.0,119,6603.389041
25.0,97,6906.959896
19.0,117,7172.289155
29.0,210,7655.917377
17.0,138,8100.549741
22.0,105,8166.608607
43.0,70,8370.711849
22.0,128,8773.282164
20.0,148,9186.653627
19.0,189,9673.507617
41.0,79,10388.793902
61.0,152,10589.521121
48.0,118,10851.378424
6.0,186,11336.87635
16.0,98,11489.841016
17.0,94,11646.049994
71.0,58,11701.201389
42.0,74,11759.937737
30.0,126,11879.399389
26.0,60,11901.051034
44.0,80,11952.796755
25.0,73,12166.556859
38.0,119,12513.796151
17.0,114,12604.955469
34.0,86,12745.214814
28.0,327,13203.980827
24.0,98,13491.819166
44.0,117,13679.535644
36.0,93,14440.685701
19.0,101,14546.380767
37.0,148,14846.76124
26.0,177,15081.773336
32.0,128,15206.405353
38.0,96,15374.016196
44.0,100,15448.508094
15.0,182,15652.979246
28.0,98,15793.126398
27.0,73,15865.362004
34.0,81,16032.381045
21.0,75,16256.83101
37.0,198,16584.821384
11.0,191,16850.122319
66.0,105,17063.141771
35.0,79,17237.625652
20.0,267,18024.277059
51.0,73,18098.077435
53.0,86,18154.37114
58.0,145,18326.81996
33.0,61,18332.690545
42.0,127,18457.794853
45.0,119,18608.352291
46.0,161,18937.820847
22.0,137,19219.953784
34.0,164,19670.993516
26.0,115,19682.271204
83.0,89,19732.179666
12.0,274,20212.368111
28.0,89,20513.940261
21.0,76,20688.419411
40.0,83,20812.177572
37.0,138,21794.358078
21.0,208,22016.15447
90.0,99,22092.620736
29.0,106,22413.431057
39.0,76,22476.93876
24.0,98,22686.013157
33.0,164,23200.591705
12.0,93,23508.722594
35.0,244,24104.899022
50.0,122,24437.507775
41.0,103,24845.331117
61.0,81,25118.919813
34.0,139,25276.453763
47.0,61,25306.290903
45.0,63,25312.476055
37.0,103,25446.872415
22.0,236,25900.398936
29.0,108,26922.990966
39.0,108,27271.638484
32.0,75,27649.536843
37.0,72,27798.784434
53.0,60,27813.199227
28.0,81,28110.652782
45.0,251,28380.572873
39.0,118,28539.169416
54.0,73,28628.346864
52.0,193,29003.077999
41.0,119,29262.531541
33.0,183,29576.574848
30.0,87,29727.458866
18.0,175,29914.731108
36.0,128,30245.935362
40.0,100,30515.833867
22.0,119,30618.365234
42.0,83,31353.721592
77.0,80,31409.091808
25.0,133,31522.541288
35.0,59,31547.182387
53.0,119,31615.163327
49.0,87,31712.618124
29.0,162,31986.248535
27.0,215,32135.83528
39.0,289,32490.569314
23.0,167,32962.37193
44.0,93,33022.13474
46.0,115,33131.033366
21.0,236,33365.523805
21.0,116,33564.75772
123.0,112,33809.105881
28.0,201,34784.403625
45.0,112,34915.768124
42.0,124,34982.386813
36.0,99,35152.278279
-1.0,285,35555.235168
37.0,87,35638.310346
29.0,276,35853.051276
54.0,110,35984.476574
44.0,91,36289.861177
35.0,180,36571.936682
35.0,124,36617.23297
49.0,95,36927.110892
64.0,93,37138.294346
37.0,88,37217.552643
54.0,105,38093.005239
43.0,75,38248.770838
51.0,154,38532.503081
43.0,155,38742.211133
49.0,95,39069.466889
48.0,128,39510.272038
22.0,598,40600.03
9.0,331,41192.714343
54.0,148,41291.504967
14.0,208,41711.943613
29.0,218,42802.990484
38.0,81,42943.757394
55.0,103,43126.198639
58.0,96,43253.296586
32.0,166,43805.537142
47.0,121,44068.332462
27.0,134,44257.052601
40.0,169,44576.721657
18.0,205,44904.295417
53.0,84,45035.965933
42.0,88,45150.301355
22.0,142,45420.412721
46.0,83,45507.36726
17.0,109,45599.257913
33.0,71,45669.424444
33.0,92,45740.711997
30.0,171,46035.658778
30.0,182,47045.76927
34.0,231,47473.898194
21.0,135,47558.872125
24.0,222,47692.261077
23.0,353,48448.576159
49.0,149,48844.142718
58.0,139,49158.332837
40.0,77,49309.525627
37.0,118,49688.337528
34.0,128,50017.050203
57.0,113,50249.476791
40.0,213,50757.386385
26.0,181,51581.852154
51.0,301,51914.629938
39.0,101,51984.552751
53.0,112,52233.290762
20.0,211,52544.765392
40.0,150,52868.421302
62.0,246,53336.512799
29.0,481,54244.618373
38.0,109,54296.173973
51.0,186,54552.283035
19.0,411,55811.540491
39.0,85,55864.474913
30.0,1147,57994.257183
14.0,99,58135.546228
63.0,58,58240.463374
48.0,94,58348.956306
11.0,189,59301.871213
37.0,141,59577.668006
36.0,99,59638.238558
36.0,74,59755.215434
39.0,199,59892.5055
43.0,66,60033.721766
40.0,168,60517.790463
28.0,141,61095.628994
38.0,165,61474.952417
49.0,73,61735.437747
44.0,205,62003.400078
45.0,82,62302.166688
21.0,386,63091.023184
18.0,264,63935.286687
42.0,88,63964.692447
49.0,217,64468.934705
31.0,158,64961.992004
29.0,116,65177.541019
63.0,132,65215.57833
42.0,261,65708.324386
38.0,139,65926.973406
26.0,244,66438.909656
58.0,106,66529.621832
62.0,69,66636.364831
15.0,272,67290.610363
37.0,107,67403.430496
22.0,165,68237.91396
51.0,74,68293.473652
49.0,306,68826.329415
46.0,252,69213.184692
40.0,160,69386.599371
69.0,89,69429.99787
46.0,82,69619.070606
4.0,637,70728.542392
42.0,95,70806.200925
42.0,245,71067.777058
54.0,60,71725.371431
17.0,298,72189.353167
40.0,158,72521.486933
58.0,215,72750.848683
27.0,328,72949.487938
42.0,187,73146.386004
32.0,173,73398.84188
33.0,123,73624.621016
26.0,81,73742.954136
49.0,91,73919.654737
33.0,274,74383.419295
42.0,243,75183.632215
11.0,228,75411.677976
28.0,173,75690.338032
43.0,202,75921.775846
65.0,172,76389.533146
30.0,103,76495.288061
44.0,99,76671.105
38.0,217,77134.269759
31.0,772,78586.086994
32.0,117,78708.157055
69.0,215,79267.37075
44.0,112,79452.129907
40.0,110,79624.695885
33.0,111,79861.653939
24.0,219,80000.667135
