#{"t_start": 1681559596.958162, "env_id": "sokoban-turtle-v0"}
r,l,t
-9.0,16,1.529662
-1.0,9,2.073524
0.0,10,2.227409
4.0,10,2.856747
-2.0,9,2.931635
-2.0,15,3.055269
2.0,8,3.139554
-5.0,13,3.239271
-9.0,9,3.351853
1.0,10,3.433353
2.0,7,3.50084
0.0,11,3.582256
-9.0,12,3.709281
-5.0,7,3.746497
19.0,14,3.866116
1.0,12,3.934855
-3.0,10,3.989097
-12.0,12,4.134407
0.0,12,4.330343
-9.0,16,4.470882
-9.0,10,4.525891
-2.0,9,4.577819
2.0,8,4.640718
-1.0,13,4.767869
-7.0,26,5.727262
6.0,6,5.776763
0.0,7,5.889972
-2.0,14,6.075731
-11.0,13,6.261909
4.0,10,6.390808
-5.0,15,6.601785
-5.0,9,6.678645
0.0,9,6.757656
-2.0,18,6.966782
0.0,8,7.091074
-5.0,12,7.278334
-10.0,9,7.366676
-10.0,12,7.548599
5.0,10,7.692045
-5.0,10,7.770988
4.0,9,7.88973
9.0,9,12.697805
-2.0,9,12.801844
-9.0,13,12.930934
-11.0,8,13.035939
-4.0,9,13.827637
-7.0,15,14.518194
-10.0,11,14.643401
-12.0,7,14.711464
4.0,19,14.968174
0.0,6,15.027384
-5.0,6,15.107339
3.0,14,15.246729
4.0,12,15.367316
-2.0,21,15.745209
0.0,11,15.936297
0.0,11,16.075409
-4.0,16,16.305699
-9.0,10,16.54288
0.0,7,16.67243
2.0,16,17.064392
-4.0,13,18.113925
-4.0,8,18.213549
-10.0,10,18.342849
-5.0,17,18.649553
0.0,6,18.716031
2.0,10,18.870587
0.0,7,18.98706
-2.0,9,19.108112
-1.0,8,19.226066
1.0,9,19.333841
-2.0,8,19.459204
-2.0,8,20.769095
4.0,5,20.838892
-3.0,8,23.038902
-5.0,12,23.292185
9.0,9,28.447209
-5.0,8,28.594697
0.0,8,28.743849
2.0,12,28.913726
0.0,7,29.082946
-15.0,11,29.28264
-2.0,9,29.450084
-10.0,18,29.787961
3.0,14,30.158176
-4.0,11,30.328323
3.0,10,30.51874
0.0,14,30.734727
5.0,7,30.820127
0.0,15,30.994886
0.0,6,31.06586
0.0,7,31.408711
4.0,10,31.594066
5.0,6,32.043189
3.0,11,32.166044
4.0,11,32.37719
0.0,8,32.486461
-2.0,7,32.61122
-4.0,7,32.696489
-6.0,14,33.291422
4.0,16,33.493054
-7.0,10,33.624778
-3.0,15,34.492893
-9.0,13,34.693961
-5.0,6,34.763855
-10.0,11,34.892473
12.0,15,35.089868
7.0,13,35.241566
7.0,10,35.377403
-5.0,9,35.477933
-5.0,7,35.583879
-4.0,18,35.944006
-8.0,14,36.202141
-4.0,14,36.390108
10.0,9,36.515551
-2.0,6,36.598646
9.0,18,36.877199
-6.0,19,37.191785
