#{"t_start": 1681559596.5496569, "env_id": "sokoban-turtle-v0"}
r,l,t
-4.0,10,1.86913
-6.0,17,2.493012
-7.0,11,2.676115
-14.0,11,3.289152
-4.0,11,3.408184
-5.0,7,3.450429
-11.0,12,3.573206
-5.0,12,3.652636
-2.0,10,3.771728
11.0,17,3.922477
-10.0,12,4.037975
-1.0,6,4.100669
4.0,13,4.171399
0.0,9,4.264869
-4.0,13,4.337389
-5.0,7,4.376692
-2.0,11,4.493789
4.0,8,4.581113
-1.0,8,4.733898
-7.0,8,4.792622
-2.0,10,4.884583
-12.0,15,4.96842
3.0,17,5.121894
-5.0,13,5.230964
-8.0,17,6.112272
1.0,10,6.191522
-10.0,12,6.361564
-5.0,16,6.609514
0.0,9,6.705961
2.0,7,6.823771
-3.0,14,7.009705
1.0,11,7.103571
-3.0,19,7.300511
4.0,8,7.412419
-4.0,11,7.619124
-5.0,9,7.701672
-11.0,11,7.834682
-7.0,7,7.946323
1.0,16,8.137445
4.0,11,8.257569
-5.0,9,13.074403
-9.0,12,13.209496
-6.0,8,13.277129
-10.0,10,13.398774
-13.0,13,14.246577
-5.0,15,14.937916
2.0,11,15.062431
-3.0,12,15.215139
-5.0,10,15.348252
-5.0,10,15.446162
7.0,11,15.568486
0.0,9,15.667502
0.0,10,15.768199
-2.0,11,15.973435
1.0,6,16.062431
6.0,12,16.30028
5.0,12,16.448208
8.0,12,16.622141
-4.0,10,16.777641
11.0,9,16.972298
1.0,9,17.328539
-2.0,11,17.462785
5.0,7,18.282817
3.0,15,18.619932
3.0,11,18.788543
-5.0,12,19.012256
0.0,6,19.077301
-4.0,9,19.219167
-7.0,7,19.316362
-4.0,18,19.575864
0.0,17,19.823155
12.0,9,19.924104
5.0,14,23.421316
-12.0,8,23.58102
-4.0,9,28.782098
2.0,9,28.924826
0.0,17,29.197359
-8.0,14,29.47792
-4.0,8,29.630736
-8.0,16,29.914744
-5.0,13,30.145827
-8.0,8,30.269519
4.0,25,30.845601
-8.0,10,31.011688
0.0,14,31.212677
-10.0,8,31.311814
6.0,8,31.401199
0.0,8,31.760451
0.0,6,31.826738
-10.0,7,31.967469
-17.0,12,32.493315
-8.0,10,32.631265
-5.0,9,32.796766
19.0,11,32.983683
-4.0,11,33.112955
-5.0,9,33.263394
3.0,7,33.730296
-8.0,7,33.819973
2.0,12,33.971167
