#{"t_start": 1685259420.8178244, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
10.0,125,178.185563,0,1,0
30.0,36,224.521904,0,1,0
19.0,22,255.526499,0,1,0
18.0,106,352.17942,0,1,0
26.0,26,378.095066,8,1,0.0
24.0,42,390.701991,0,1,0
10.0,54,437.203473,8,1,0.6
18.0,22,449.834677,0,1,0
22.0,15,473.995487,0,1,0
10.0,64,522.017218,0,1,0
24.0,31,596.76106,0,1,0
5.0,92,678.677757,0,1,0
19.0,17,703.49722,0,1,0
19.0,50,740.076874,0,1,0
15.0,14,752.593323,0,1,0
19.0,36,814.599775,0,1,0
10.0,104,956.892089,6,1,0.0
20.0,22,969.301316,0,0,0
17.0,79,1086.811131,8,1,0.0
20.0,16,1098.476251,0,1,0
8.0,125,1313.67811,0,1,0
18.0,102,1421.01582,0,1,0
22.0,15,1445.738526,7,1,0.0
37.0,47,1494.609622,19,1,0.0
8.0,25,1494.768938,0,4,0
24.0,39,1511.091039,0,0,0
19.0,26,1548.436208,0,2,0
19.0,52,1572.940667,0,2,0
23.0,24,1608.012589,9,1,0.0
5.0,86,1688.42675,0,1,0
27.0,21,1720.096591,0,2,0
0.0,75,1808.594812,0,0,0
24.0,43,1855.991436,0,1,0
5.0,27,1868.087603,0,2,0
15.0,40,1898.886803,0,1,0
15.0,10,1918.179489,10,1,0.0
10.0,22,1930.578319,0,2,0
20.0,15,1943.080601,0,0,0
21.0,48,2015.441434,7,1,0.0
20.0,59,2081.523242,8,1,0.15
15.0,125,2177.677593,0,1,0
12.0,11,2213.80779,5,1,0.15
35.0,23,2235.978496,11,1,0.0
29.0,21,2262.964699,0,1,0
13.0,18,2311.204792,0,2,0
18.0,32,2343.882096,0,1,0
19.0,19,2356.346639,0,1,0
25.0,19,2367.850357,0,1,0
14.0,15,2367.954973,0,1,0
8.0,19,2380.45621,0,2,0
14.0,16,2380.555257,0,2,0
5.0,50,2393.827485,0,1,0
19.0,33,2448.526346,0,2,0
14.0,23,2448.740987,0,1,0
9.0,67,2541.756263,0,1,0
14.0,60,2645.14481,0,1,0
38.0,21,2669.876852,19,1,0.0
31.0,14,2692.887308,9,1,0.15
4.0,25,2717.978714,0,1,0
19.0,22,2755.085325,0,1,0
13.0,45,2771.964653,0,1,0
23.0,71,2831.435847,0,1,0
1.0,46,2881.139911,0,2,0
21.0,52,2954.616393,16,1,0.0
19.0,55,2978.663131,0,1,0
19.0,24,3000.5532,0,2,0
19.0,19,3014.287103,0,1,0
19.0,42,3074.418015,10,1,0.25
24.0,34,3127.282655,15,1,0.0
14.0,20,3134.813809,0,1,0
24.0,48,3171.638548,0,1,0
