#{"t_start": 1685220598.6028614, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
-7.0,70,702.852439,False
8.4,26,703.340769,True
-7.0,70,704.541688,False
-7.0,70,705.907147,False
5.5,55,706.87452,True
-7.0,70,708.142978,False
-7.0,70,709.41368,False
-7.0,70,710.713661,False
-7.0,70,712.022741,False
-7.0,70,713.284777,False
-7.0,70,714.582844,False
-7.0,70,715.842211,False
-7.0,70,717.169515,False
-7.0,70,718.4653,False
-7.0,70,776.947398,False
8.5,25,777.364944,True
4.5,65,778.474344,True
-7.0,70,779.717163,False
-7.0,70,781.436208,False
8.9,21,781.813204,True
-7.0,70,783.129438,False
-7.0,70,784.320104,False
8.4,26,784.750435,True
4.0,70,786.051255,True
-7.0,70,787.287106,False
-7.0,70,788.549789,False
5.3,57,789.593209,True
-7.0,70,790.891738,False
7.5,35,791.544351,True
-7.0,70,792.7294,False
-7.0,70,793.976394,False
-7.0,70,795.249881,False
-7.0,70,796.506779,False
7.4,36,797.241183,True
6.3,47,798.072836,True
-7.0,70,799.361712,False
7.9,31,799.927474,True
-7.0,70,801.163477,False
8.0,30,801.707309,True
8.3,27,802.200565,True
-7.0,70,803.458536,False
-7.0,70,804.764911,False
-7.0,70,806.025706,False
-7.0,70,807.267493,False
-7.0,70,808.603605,False
8.6,24,809.004806,True
5.1,59,810.082473,True
7.5,35,810.706449,True
7.0,40,811.431125,True
9.2,18,811.763508,True
-7.0,70,813.065648,False
-7.0,70,870.840861,False
-7.0,70,872.490694,False
7.8,32,873.080615,True
5.3,57,874.134438,True
7.2,38,874.792662,True
-7.0,70,876.071362,False
7.8,32,876.736234,True
6.7,43,877.50499,True
-7.0,70,878.796605,False
-7.0,70,880.095542,False
-7.0,70,881.333039,False
6.8,42,882.11207,True
7.4,36,882.75259,True
-7.0,70,884.017411,False
8.4,26,884.477068,True
-7.0,70,885.745326,False
9.0,20,886.105348,True
-7.0,70,887.391055,False
-7.0,70,888.718434,False
-7.0,70,889.993423,False
6.8,42,890.752328,True
-7.0,70,891.996575,False
4.5,65,893.142678,True
