#{"t_start": 1672578541.9872892, "env_id": "sokoban-turtle-v0"}
r,l,t
-5.0,12,3.327779
2.0,14,4.099337
-3.0,12,4.773905
0.0,10,5.41567
0.0,8,5.984279
0.0,8,6.597935
-7.0,18,7.779271
14.0,18,8.885277
4.0,15,10.126794
-2.0,9,10.790059
3.0,14,11.757047
6.0,11,12.658677
13.0,14,13.953255
3.0,8,14.625613
-3.0,19,15.784966
5.0,5,16.343237
7.0,16,17.822525
0.0,10,18.583704
-2.0,12,19.576997
-2.0,10,20.338522
-3.0,9,21.06393
-3.0,11,21.945832
-4.0,11,22.752007
3.0,11,23.576546
-1.0,9,24.300913
-5.0,14,25.258493
0.0,10,26.096536
1.0,12,26.993728
0.0,11,28.177439
1.0,11,29.029497
7.0,8,29.388438
-10.0,8,30.149428
-5.0,7,30.780373
-4.0,20,32.313297
-4.0,8,33.002661
-4.0,11,33.874588
0.0,7,34.52269
4.0,17,35.643352
-2.0,12,36.538568
2.0,13,37.872495
-12.0,10,38.7008
2.0,9,39.467562
-5.0,6,39.736156
-2.0,10,40.510041
-3.0,7,41.167591
-5.0,7,41.888387
-10.0,17,43.046895
-1.0,12,44.359478
6.0,14,45.39968
6.0,17,46.870981
6.0,12,47.764643
-3.0,15,48.75931
-3.0,8,49.542782
3.0,10,50.329309
-7.0,19,51.847348
14.0,18,53.484
-7.0,21,55.099736
-5.0,11,55.925416
-9.0,15,57.404848
-8.0,10,58.220905
-7.0,9,59.235353
0.0,14,61.12719
-3.0,14,62.12853
0.0,11,63.056705
3.0,7,63.712985
7.0,13,66.263502
-7.0,18,69.44977
-7.0,9,70.263942
1.0,7,70.957122
-8.0,17,72.069227
0.0,9,72.811525
7.0,10,73.628427
5.0,16,75.183089
2.0,6,75.883624
12.0,8,76.448434
-4.0,11,77.296821
9.0,13,78.721915
6.0,23,80.771187
10.0,13,81.700497
-10.0,9,82.5247
-2.0,12,83.519868
1.0,10,84.292497
3.0,14,85.609926
-8.0,13,86.551693
8.0,6,87.254972
0.0,10,88.044596
-3.0,10,88.844918
-5.0,7,89.154503
2.0,10,89.952838
6.0,10,90.772044
-2.0,17,92.286306
-1.0,8,92.985228
0.0,17,94.440901
4.0,9,95.292517
0.0,10,96.077946
8.0,7,96.395656
-5.0,10,97.492458
10.0,11,98.359508
-2.0,12,99.690197
6.0,14,100.73143
-4.0,12,101.61369
10.0,8,102.673264
-3.0,13,103.623124
2.0,8,104.405875
-6.0,15,105.898583
5.0,19,107.122715
-9.0,12,108.426279
4.0,8,108.836918
-2.0,6,109.439461
3.0,9,110.224953
12.0,9,110.98119
-2.0,9,111.743763
3.0,11,112.665311
1.0,20,114.278066
2.0,9,115.02303
2.0,10,115.811503
-6.0,9,116.654679
4.0,11,117.622224
2.0,8,118.448924
3.0,6,118.717735
5.0,8,119.431251
-2.0,9,120.222077
5.0,15,121.345267
1.0,10,122.157131
0.0,6,122.771697
0.0,5,123.158956
5.0,12,125.612444
5.0,15,126.760284
8.0,18,128.28373
-5.0,6,128.916676
1.0,12,129.866532
0.0,10,130.771548
8.0,13,131.713864
0.0,6,132.314898
-2.0,11,133.155854
12.0,11,134.085061
2.0,12,135.114931
-3.0,9,135.877979
0.0,7,136.550877
-10.0,9,137.335843
0.0,8,137.729453
4.0,17,139.875188
-8.0,11,140.75457
-3.0,10,141.570975
7.0,8,142.344572
-16.0,16,144.03988
-1.0,9,144.463152
0.0,11,145.674137
13.0,12,146.603665
-8.0,11,147.824227
2.0,8,148.606857
-3.0,7,148.949458
-10.0,18,150.495148
0.0,12,151.391743
-6.0,22,155.331747
-1.0,9,155.780724
-2.0,6,156.397666
1.0,7,157.076917
-2.0,13,157.999915
0.0,12,159.036517
-6.0,9,160.006603
3.0,11,160.97762
-1.0,11,161.830567
9.0,11,162.697033
-14.0,14,164.216621
-6.0,8,164.922203
-3.0,10,165.764826
4.0,18,167.003058
-2.0,13,168.405145
-2.0,12,169.340972
0.0,22,171.356471
2.0,16,172.958659
-5.0,15,174.450007
-10.0,7,175.134696
0.0,7,175.799111
-6.0,10,176.689872
-2.0,13,177.700216
8.0,11,178.628014
0.0,17,180.154247
2.0,12,767.57313
2.0,15,768.616241
2.0,11,769.809781
-5.0,5,770.021147
7.0,9,770.751787
4.0,9,771.560489
3.0,12,772.47859
0.0,11,773.315136
3.0,11,774.15691
-4.0,10,775.122958
5.0,9,775.970133
13.0,17,777.493464
0.0,9,778.256443
-4.0,10,779.254022
-4.0,10,780.16536
-2.0,14,781.183931
-1.0,11,782.026623
3.0,10,782.859646
0.0,10,783.678331
3.0,8,784.510723
5.0,7,785.175823
5.0,9,785.930529
0.0,11,786.791414
-3.0,11,787.870816
2.0,9,788.656025
17.0,12,789.876624
-6.0,10,790.702775
0.0,9,791.505296
8.0,8,792.348876
0.0,12,793.256643
-1.0,16,794.377347
2.0,9,795.154663
4.0,17,796.730997
-2.0,10,797.587956
1.0,7,798.30338
10.0,14,799.365064
3.0,12,801.927926
8.0,10,802.846172
7.0,8,803.615088
1.0,10,804.455818
2.0,9,805.221364
0.0,15,806.742286
5.0,18,808.017657
7.0,12,809.31592
7.0,8,809.681561
4.0,16,811.313656
-4.0,5,811.957913
4.0,10,812.788477
-3.0,9,813.586897
6.0,9,814.48299
4.0,7,815.177943
-3.0,9,816.029408
4.0,10,816.882807
8.0,9,817.667671
-1.0,15,818.783448
12.0,14,820.283903
-6.0,6,820.574703
8.0,11,821.451718
6.0,7,822.130431
2.0,9,822.90225
-2.0,9,823.724211
-6.0,12,824.730681
6.0,11,825.724053
7.0,9,826.564455
-5.0,12,827.494936
1.0,10,828.332866
-2.0,7,829.089114
7.0,6,829.768316
-4.0,9,830.210057
5.0,22,832.416927
4.0,8,832.813213
1.0,10,833.728615
3.0,9,834.510868
3.0,9,835.32293
4.0,25,837.850031
-5.0,13,838.84654
9.0,5,839.457905
14.0,10,840.301159
-3.0,7,842.214214
8.0,11,843.109702
19.0,14,844.614762
0.0,9,845.408931
-4.0,13,846.502136
15.0,14,849.143093
8.0,11,850.115935
4.0,12,851.438095
0.0,10,852.263256
0.0,10,853.084861
0.0,14,854.172448
9.0,12,855.106371
-7.0,6,855.782574
-3.0,13,856.816143
-5.0,12,857.792648
4.0,9,858.689295
-4.0,9,859.493174
-3.0,15,860.918748
-3.0,5,861.147818
2.0,11,862.122531
15.0,14,863.588234
0.0,9,864.360376
11.0,8,864.760182
8.0,12,866.070565
0.0,11,867.046118
-1.0,16,868.2409
4.0,11,869.688573
0.0,11,870.588271
1.0,18,872.264928
5.0,19,873.919642
1.0,9,874.9505
-5.0,14,875.972936
5.0,10,876.889994
15.0,14,878.296744
0.0,13,879.300483
8.0,17,880.945411
2.0,11,881.845227
-8.0,6,882.493287
-7.0,16,883.627519
-3.0,9,884.611909
5.0,10,885.69277
3.0,11,886.592337
-3.0,10,887.416378
0.0,9,888.258148
2.0,12,889.216802
7.0,10,890.208426
4.0,11,891.181354
7.0,12,892.500422
13.0,16,893.65839
-3.0,8,894.483567
2.0,7,895.191212
9.0,17,896.395972
0.0,20,898.079926
7.0,11,899.119302
4.0,13,900.517613
2.0,7,901.168516
0.0,13,903.102861
9.0,18,904.887944
5.0,12,905.858747
-2.0,13,906.932186
2.0,10,907.774224
1.0,17,909.693174
11.0,12,910.685509
4.0,13,911.804238
8.0,11,912.706553
3.0,11,913.677113
10.0,15,915.362172
-3.0,10,916.230431
5.0,8,916.969748
2.0,16,918.181526
-2.0,7,918.885545
7.0,15,920.378629
4.0,8,920.780065
-3.0,12,923.311173
-3.0,14,924.40277
