#{"t_start": 1672665650.0672824, "env_id": "sokoban-turtle-v0"}
r,l,t
-14.0,46,12.15633
-14.0,52,14.993243
-6.0,38,17.286161
-9.0,39,19.535509
-8.0,55,22.496934
-24.0,42,25.205
-21.0,65,28.630501
0.0,36,30.822691
-14.0,43,33.221576
-9.0,54,36.322567
-27.0,39,38.664992
-12.0,41,41.087022
-1.0,42,43.836354
-18.0,40,46.291437
-24.0,67,50.054063
-8.0,43,52.811691
-8.0,45,55.477138
-13.0,46,58.41848
-10.0,58,61.946868
-16.0,43,64.433883
4.0,38,66.842887
-8.0,47,69.407988
-22.0,44,72.285682
-20.0,51,75.499968
-1.0,41,78.006208
-4.0,35,80.085767
-11.0,52,83.693445
-4.0,39,86.243337
11.0,59,89.658033
-16.0,49,92.773026
-15.0,38,95.409357
-11.0,43,98.259448
-5.0,45,101.388502
2.0,49,104.643295
-10.0,42,107.300011
-8.0,38,109.856517
-10.0,47,112.951085
-25.0,51,116.286358
-10.0,40,118.937659
-12.0,42,121.680489
-4.0,39,124.342933
-10.0,36,126.560095
-11.0,43,129.691182
-8.0,47,132.613718
-1.0,42,135.762646
-11.0,47,910.87773
11.0,34,913.379965
-4.0,45,916.242616
6.0,37,918.813394
3.0,51,922.055543
-1.0,39,924.642136
-6.0,39,927.259887
-5.0,49,930.53785
0.0,48,933.351091
0.0,33,935.75263
6.0,52,939.238867
-19.0,46,942.430104
-7.0,46,945.202527
13.0,38,947.789193
-6.0,45,950.664511
-7.0,44,953.863192
-3.0,38,956.505934
0.0,43,959.193076
-14.0,47,962.524104
-13.0,42,965.205502
-6.0,43,967.998039
7.0,39,970.533118
-2.0,40,973.124647
-8.0,63,977.174154
2.0,27,978.963972
17.0,46,982.044989
-4.0,40,984.613986
7.0,56,988.039429
1.0,35,990.433703
-8.0,49,993.610847
-15.0,40,996.250492
0.0,39,998.77071
-21.0,42,1001.403474
7.0,48,1004.683964
-12.0,36,1006.843079
1.0,46,1009.940427
-2.0,58,1013.752507
6.0,50,1017.051687
1.0,45,1019.758285
-5.0,40,1022.393377
16.0,41,1025.097194
0.0,38,1027.660756
-2.0,47,1030.793284
5.0,49,1034.120652
-3.0,55,1037.523042
15.0,46,1040.740558
6.0,46,1814.827656
-1.0,59,1818.942464
8.0,42,1821.679772
13.0,51,1825.268628
6.0,47,1828.711881
2.0,50,1832.220131
1.0,57,1836.493235
13.0,40,1839.298965
-4.0,66,1843.938286
-4.0,39,1846.849475
-3.0,45,1850.16402
2.0,41,1853.053015
2.0,45,1856.212717
8.0,38,1859.078544
0.0,49,1862.763736
10.0,40,1865.827492
10.0,39,1868.788044
-6.0,59,1873.211707
-8.0,53,1876.778695
-15.0,45,1880.069546
5.0,37,1882.446836
-3.0,37,1885.134645
-3.0,39,1887.937913
-7.0,66,1892.724191
-14.0,42,1895.555027
-9.0,56,1899.016774
1.0,34,1901.724367
12.0,45,1904.630698
-2.0,48,1907.888792
0.0,38,1910.458557
10.0,56,1914.487705
-5.0,63,1918.803347
9.0,55,1922.369084
0.0,51,1925.729346
0.0,42,1928.659939
12.0,41,1931.296198
8.0,40,1933.929519
5.0,49,1937.333262
9.0,46,1940.430466
-2.0,51,1944.073848
3.0,56,1948.214697
-4.0,37,1950.924909
10.0,41,1953.74099
2.0,43,1956.626548
9.0,34,2746.280769
2.0,36,2748.967571
-1.0,48,2752.308341
2.0,59,2756.318016
-3.0,46,2759.350569
7.0,35,2761.966963
-8.0,36,2764.157055
17.0,49,2767.590601
7.0,35,2770.008808
4.0,77,2775.308805
7.0,61,2779.329109
8.0,35,2781.469353
-10.0,57,2785.527078
1.0,56,2789.236921
10.0,42,2792.358468
13.0,42,2795.050237
21.0,54,2798.291102
-6.0,48,2801.588556
2.0,48,2804.984695
4.0,40,2807.796629
-5.0,57,2812.104318
7.0,33,2814.234066
9.0,44,2816.819321
1.0,69,2821.313393
7.0,35,2823.777808
12.0,51,2827.104316
9.0,52,2830.493515
13.0,65,2834.629518
-1.0,47,2837.896977
16.0,44,2841.15434
12.0,43,2843.911941
9.0,50,2847.320062
11.0,46,2850.440334
16.0,61,2855.466532
17.0,47,2858.566716
7.0,42,2861.382921
6.0,46,2864.491182
2.0,43,2868.434572
15.0,34,2870.998644
15.0,40,2873.584269
-1.0,33,2875.527277
1.0,41,2878.263081
-1.0,51,2881.903043
12.0,45,2885.290681
7.0,54,3662.495772
32.0,54,3666.555695
4.0,45,3669.622615
14.0,67,3674.664878
32.0,57,3678.837436
19.0,54,3683.628254
7.0,48,3687.252992
4.0,59,3691.545685
11.0,37,3693.971908
21.0,45,3697.539016
3.0,43,3700.60783
9.0,48,3704.300388
2.0,38,3707.362194
21.0,51,3711.218228
17.0,73,3716.811588
1.0,45,3720.307567
6.0,42,3723.148041
4.0,44,3726.335259
2.0,36,3729.29669
15.0,54,3733.310135
32.0,48,3737.389537
19.0,40,3740.781103
21.0,40,3744.166888
1.0,45,3747.721928
13.0,40,3751.191049
2.0,48,3755.221648
5.0,26,3757.57636
34.0,55,3762.02174
-6.0,57,3766.491576
12.0,50,3770.308566
6.0,43,3773.63321
21.0,55,3778.375577
