#{"t_start": 1683586175.2399528, "env_id": "sokoban_solver-turtle-v0"}
r,l,t
20.0,18,18.052601
12.0,13,50.033482
19.0,32,152.345205
17.0,30,152.71398
7.0,48,217.553699
16.0,21,230.868756
22.0,37,299.800875
22.0,20,332.604726
5.0,119,532.099769
21.0,14,580.615672
12.0,21,633.454482
22.0,15,651.061864
8.0,12,666.943154
0.0,39,768.303794
5.0,24,800.724984
19.0,20,832.680287
7.0,23,899.259042
10.0,15,927.69243
19.0,14,927.844725
10.0,55,953.677031
14.0,14,966.058631
14.0,17,1013.37579
15.0,19,1013.961745
25.0,17,1061.990472
12.0,20,1141.86859
22.0,20,1205.271194
14.0,20,1237.411134
19.0,29,1352.582488
10.0,13,1352.706933
19.0,20,1386.710012
16.0,34,1418.263521
21.0,30,1434.458655
17.0,58,1590.872757
9.0,38,1623.304884
14.0,9,1639.283705
23.0,61,2062.643738
15.0,58,2179.348379
15.0,13,2194.165141
19.0,16,2210.190897
23.0,21,2258.269372
9.0,31,2359.794465
19.0,48,2393.584478
9.0,37,2394.126039
19.0,14,2488.673287
34.0,18,2537.861095
10.0,47,2679.12015
8.0,26,2725.695942
9.0,20,2725.97089
17.0,25,2726.167436
14.0,36,2758.866653
30.0,15,2779.881352
7.0,46,2878.427521
4.0,57,3006.19684
0.0,125,3154.606823
16.0,44,3283.795557
10.0,25,3302.160666
14.0,25,3336.576232
17.0,22,3389.708339
-27.0,105,3534.676368
19.0,20,3599.297053
8.0,18,3647.909075
27.0,30,3760.924399
20.0,19,3820.72197
14.0,46,4257.560132
10.0,26,4322.173543
26.0,57,4514.182393
19.0,20,4578.4683
12.0,78,4712.180577
0.0,16,4759.452248
19.0,16,4831.159199
12.0,27,4907.903719
17.0,26,4960.951245
31.0,33,5010.063889
7.0,25,5025.547698
11.0,19,5073.595456
7.0,48,5178.344163
24.0,19,5178.790931
5.0,22,5194.972005
16.0,22,5210.925741
2.0,125,5385.049441
10.0,67,5426.46225
7.0,24,5442.761067
2.0,78,5598.705532
24.0,18,5599.048907
14.0,25,5643.867359
0.0,125,5842.728435
21.0,18,5907.784485
8.0,97,6741.912938
20.0,19,6773.878096
12.0,22,6805.075687
15.0,28,6860.636932
25.0,40,7007.790136
12.0,82,7184.557239
15.0,28,7254.854336
13.0,21,7270.958937
10.0,24,7271.24801
19.0,22,7297.503543
10.0,27,7360.717575
21.0,45,7458.316375
16.0,75,7480.528838
26.0,15,7502.458958
6.0,125,7801.511931
-2.0,3,7803.738564
5.0,17,7840.096116
6.0,26,7904.285267
14.0,125,8077.908216
5.0,95,8144.555999
7.0,44,8198.9318
4.0,113,8736.7608
14.0,13,8752.297247
24.0,18,8752.415325
10.0,15,8784.533974
16.0,4,8799.719616
33.0,19,8890.148382
11.0,82,9038.688496
10.0,42,9103.234402
22.0,28,9220.234597
26.0,30,9328.20459
4.0,29,9398.449958
17.0,77,9525.755781
5.0,125,9703.06198
16.0,21,9719.298023
27.0,18,9734.806611
12.0,38,9777.947063
16.0,125,9922.035825
5.0,28,9982.969929
17.0,34,9999.358145
8.0,27,10014.797322
31.0,24,10062.826899
0.0,21,10083.371659
27.0,23,10153.664818
15.0,39,10209.236393
26.0,17,10239.687345
11.0,17,10239.86169
15.0,50,10856.281081
9.0,125,11078.699993
10.0,33,11107.377961
15.0,46,11165.721694
15.0,20,11263.441983
11.0,23,11279.662776
11.0,52,11280.044691
11.0,32,11324.565539
10.0,12,11333.246141
10.0,16,11349.44105
9.0,31,11396.443603
14.0,27,11466.222947
17.0,69,11578.083012
21.0,18,11594.190951
26.0,23,11604.00866
29.0,81,11637.091495
12.0,21,11670.666788
19.0,26,11774.450824
15.0,39,11836.820604
7.0,33,11872.112234
12.0,32,11949.525074
16.0,15,11949.678951
2.0,69,12131.044008
19.0,17,12149.374011
28.0,83,12343.94594
5.0,45,12411.13389
14.0,20,12960.640013
16.0,5,12991.894012
21.0,12,13012.485245
24.0,40,13060.769204
14.0,16,13060.94332
10.0,22,13093.651392
27.0,10,13094.489421
14.0,34,13225.429104
5.0,85,13352.784969
21.0,20,13384.841314
12.0,23,13393.931447
15.0,21,13431.673504
27.0,20,13526.364962
7.0,35,13608.313057
28.0,21,13704.313788
13.0,47,13855.746887
12.0,20,13871.783407
38.0,37,13907.51823
14.0,27,13970.351345
12.0,19,13986.629681
19.0,13,14018.698688
17.0,23,14067.544028
7.0,13,14067.673531
24.0,38,14134.166168
4.0,125,14309.491841
19.0,17,14385.166552
38.0,13,14447.765933
14.0,24,14464.165769
4.0,40,14513.084577
20.0,14,14556.550198
25.0,32,14605.217451
24.0,53,14695.045777
30.0,48,14743.243428
14.0,27,15159.667034
2.0,125,15378.248116
12.0,14,15394.286298
13.0,28,15426.333248
20.0,18,15497.64148
10.0,50,15576.751377
14.0,22,15606.004077
5.0,41,15701.049214
12.0,27,15761.866814
7.0,70,15886.76573
17.0,21,15914.720205
11.0,38,15960.133598
0.0,38,15992.255372
15.0,13,16033.170619
27.0,24,16113.492934
7.0,18,16161.686075
15.0,19,16193.580622
14.0,15,16225.578572
11.0,46,16283.480938
15.0,30,16284.137517
9.0,27,16388.746268
18.0,5,16400.078506
