#{"t_start": 1683889034.5488708, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
21.0,14,6.702283,0,2,0
20.0,19,6.92946,0,1,0
14.0,23,23.694644,0,1,0
21.0,17,41.621423,0,2,0
19.0,11,80.444052,0,1,0
17.0,14,122.975896,0,2,0
19.0,8,165.790099,3,1,0.1
17.0,37,204.092568,0,1,0
7.0,27,237.483409,0,1,0
21.0,14,252.096681,0,2,0
12.0,15,275.016127,0,2,0
12.0,36,369.614228,0,2,0
17.0,34,417.179004,0,2,0
-23.0,17,430.826797,0,2,0
16.0,41,474.036498,0,2,0
15.0,21,491.547006,0,0,0
3.0,24,509.341701,0,1,0
26.0,22,523.284446,0,2,0
12.0,16,523.505941,0,1,0
7.0,30,563.706222,0,1,0
18.0,30,601.55788,0,1,0
19.0,13,627.128831,3,1,0.5
4.0,58,691.467488,0,1,0
26.0,12,726.3924,0,3,0
7.0,22,760.855757,0,1,0
11.0,39,836.233388,0,4,0
10.0,52,874.033245,0,3,0
14.0,47,928.215855,0,1,0
12.0,21,944.779408,0,1,0
12.0,21,951.851403,0,1,0
17.0,93,1003.553245,0,2,0
10.0,17,1051.812616,0,2,0
21.0,18,1051.969158,0,2,0
17.0,29,1061.321241,0,1,0
10.0,15,1075.148524,0,3,0
17.0,19,1105.885038,0,1,0
3.0,37,1153.987485,0,2,0
10.0,13,1154.114657,0,1,0
24.0,21,1192.287037,0,1,0
13.0,39,1255.627853,0,2,0
7.0,34,1277.720339,0,1,0
27.0,14,1292.225091,0,1,0
14.0,12,1321.299179,0,1,0
12.0,18,1357.085968,0,1,0
32.0,83,1479.461386,22,2,0.2
17.0,31,1555.728682,0,2,0
3.0,34,1594.627467,0,1,0
12.0,45,1646.522303,0,1,0
4.0,23,1694.792042,0,2,0
20.0,15,1744.165737,0,2,0
21.0,11,1744.321002,0,3,0
13.0,22,1755.375428,0,1,0
9.0,27,1781.607017,0,1,0
16.0,23,1842.299178,0,2,0
17.0,22,1858.986577,0,1,0
7.0,7,1862.726516,12,1,0.95
9.0,18,1862.896631,0,1,0
11.0,12,1879.170457,0,2,0
9.0,31,1982.436385,12,2,0.7
15.0,15,1985.338836,0,3,0
10.0,16,2062.192985,0,1,0
15.0,17,2094.355679,0,1,0
27.0,28,2141.612201,0,2,0
7.0,59,2264.764218,0,2,0
15.0,15,2289.547051,0,1,0
24.0,13,2305.836307,0,1,0
21.0,15,2334.206326,0,3,0
20.0,15,2350.358101,0,3,0
10.0,35,2390.243828,0,1,0
28.0,20,2401.480376,5,1,0.45
34.0,20,2401.654094,0,1,0
5.0,46,2430.866585,0,2,0
20.0,10,2472.472192,0,0,0
20.0,14,2584.239496,13,2,0.0
18.0,24,2632.460097,0,1,0
19.0,28,2697.694654,0,2,0
9.0,22,2777.807784,0,2,0
25.0,41,2810.214987,0,0,0
12.0,32,2875.201156,0,1,0
20.0,14,2875.341699,0,1,0
5.0,42,2962.74896,0,1,0
16.0,29,3018.535016,0,2,0
18.0,15,3110.531738,0,1,0
14.0,19,3121.921836,0,2,0
21.0,29,3130.142187,0,2,0
10.0,29,3217.053802,0,2,0
11.0,44,3282.003214,0,2,0
16.0,17,3284.0634,0,3,0
4.0,20,3285.034683,0,1,0
16.0,22,3285.719147,0,2,0
21.0,20,3314.547448,0,2,0
25.0,15,3330.972077,0,1,0
15.0,18,3346.566005,0,3,0
30.0,15,3379.720203,16,1,0.0
5.0,18,3398.715621,0,2,0
10.0,11,3417.797908,0,1,0
14.0,20,3465.246556,0,1,0
16.0,21,3504.059686,0,2,0
14.0,15,3533.792843,7,1,0.15
22.0,28,3565.692988,0,4,0
0.0,35,3638.748715,0,2,0
0.0,23,3655.192916,0,0,0
9.0,21,3671.560217,0,1,0
20.0,29,3754.415206,4,1,0.05
9.0,48,3791.42175,0,1,0
15.0,34,3861.382707,0,3,0
-19.0,17,3900.719102,16,2,0.0
17.0,24,3962.891341,0,2,0
6.0,39,3997.305304,0,2,0
7.0,99,4194.590128,0,1,0
27.0,45,4243.547457,16,2,0.2
21.0,26,4317.883024,0,2,0
10.0,13,4321.111671,0,1,0
0.0,54,4455.732348,0,2,0
24.0,16,4472.371493,0,3,0
17.0,11,4487.296019,0,1,0
21.0,17,4544.045047,0,3,0
14.0,31,4561.31569,0,2,0
19.0,16,4561.926017,0,1,0
35.0,31,4562.299231,0,2,0
5.0,89,4630.199281,12,2,0.6
2.0,7,4633.979574,10,1,0.85
10.0,15,4634.159742,0,1,0
10.0,19,4664.364266,0,0,0
32.0,18,4739.964073,18,1,0.0
22.0,33,4784.664878,0,3,0
8.0,34,4833.772521,0,1,0
15.0,25,4874.256651,0,2,0
23.0,21,4959.796142,0,2,0
19.0,57,5020.032511,0,3,0
7.0,32,5038.59093,0,2,0
24.0,44,5097.025002,0,1,0
24.0,16,5097.182361,0,1,0
24.0,19,5111.698888,0,1,0
3.0,52,5169.912498,0,3,0
-16.0,55,5258.526886,3,2,0.95
17.0,16,5290.514127,0,2,0
19.0,20,5328.843872,0,3,0
36.0,21,5359.017354,16,1,0.05
10.0,22,5387.943008,0,0,0
17.0,15,5400.799613,0,1,0
7.0,15,5400.907304,0,2,0
7.0,63,5536.54397,0,1,0
8.0,53,5566.600202,0,1,0
3.0,41,5638.468876,0,1,0
17.0,31,5671.974569,0,2,0
14.0,32,5745.185398,0,1,0
7.0,39,5818.151495,0,2,0
7.0,18,5824.089961,0,2,0
37.0,17,5886.160417,22,2,0.0
17.0,20,5907.472823,0,3,0
15.0,22,5984.59824,0,1,0
4.0,19,6035.378732,0,1,0
15.0,9,6035.482017,0,1,0
2.0,24,6053.545806,0,2,0
14.0,12,6056.767197,0,1,0
13.0,19,6092.592525,0,1,0
30.0,22,6098.82631,0,2,0
19.0,16,6154.393146,0,1,0
34.0,13,6191.059194,0,1,0
10.0,71,6311.493481,0,2,0
17.0,15,6327.007841,0,1,0
20.0,18,6357.726865,0,1,0
14.0,12,6374.074965,0,1,0
2.0,21,6426.518796,0,1,0
-3.0,67,6511.417945,0,2,0
21.0,22,6523.386531,0,3,0
19.0,27,6528.157468,0,2,0
17.0,19,6576.631342,7,1,0.05
15.0,17,6606.492124,0,2,0
17.0,36,6691.072965,0,2,0
15.0,33,6694.446774,0,2,0
12.0,19,6715.137882,0,1,0
18.0,21,6759.260099,0,1,0
12.0,20,6807.291921,8,1,0.0
10.0,43,6870.14342,0,2,0
34.0,14,6904.74962,0,2,0
19.0,26,6954.405851,0,2,0
24.0,25,7018.621386,0,1,0
15.0,20,7046.440784,0,0,0
22.0,38,7109.381363,0,2,0
17.0,30,7156.067736,0,2,0
15.0,50,7240.822566,0,2,0
24.0,20,7288.970854,0,1,0
30.0,26,7327.250661,0,2,0
2.0,23,7433.023462,0,2,0
2.0,53,7560.004847,0,3,0
20.0,30,7606.454329,0,1,0
-5.0,96,7719.300042,0,1,0
20.0,22,7771.893538,6,1,0.0
9.0,125,7934.899612,0,2,0
10.0,21,7971.446479,0,2,0
38.0,26,8082.256349,19,1,0.0
14.0,25,8169.563464,0,1,0
15.0,17,8169.724088,0,1,0
11.0,23,8186.39657,0,2,0
33.0,27,8229.582252,14,1,0.0
12.0,30,8230.453626,0,1,0
17.0,14,8246.461219,0,2,0
17.0,18,8292.000413,0,2,0
9.0,15,8340.576519,0,1,0
31.0,16,8354.639064,0,1,0
12.0,16,8370.904962,0,2,0
15.0,20,8392.169418,0,2,0
3.0,59,8467.194961,0,1,0
32.0,38,8563.598464,16,2,0.2
19.0,35,8699.514772,0,1,0
25.0,35,8778.698642,0,0,0
21.0,15,8793.560999,0,2,0
17.0,39,8894.750312,0,2,0
3.0,22,8895.192691,0,1,0
-15.0,18,8897.705927,1,1,0.9
19.0,22,8946.013906,0,1,0
0.0,22,8994.752976,0,1,0
16.0,42,9083.021831,0,2,0
24.0,21,9139.513427,0,2,0
24.0,17,9144.676639,0,1,0
20.0,20,9171.014803,0,1,0
19.0,19,9180.666807,0,1,0
-10.0,16,9184.816944,4,1,0.9
17.0,28,9201.429316,0,1,0
12.0,40,9229.355439,0,1,0
19.0,21,9255.747184,0,1,0
15.0,32,9277.373853,0,1,0
5.0,24,9304.703643,0,2,0
20.0,18,9386.743951,0,3,0
15.0,19,9435.014681,0,2,0
19.0,36,9449.855459,0,1,0
9.0,17,9475.920867,0,1,0
15.0,26,9522.831309,0,2,0
19.0,42,9536.895701,0,1,0
28.0,30,9582.010365,14,1,0.0
15.0,15,9602.393456,0,1,0
1.0,18,9618.563925,0,2,0
2.0,45,9684.631762,0,2,0
24.0,23,9722.548227,0,2,0
17.0,69,9833.413644,0,2,0
-1.0,38,9886.940449,5,1,1.0
9.0,16,9887.107283,0,3,0
12.0,15,9899.034475,0,2,0
5.0,40,9932.212774,0,3,0
36.0,40,10018.138414,8,1,0.45
11.0,13,10018.272389,0,2,0
13.0,16,10052.74282,0,2,0
10.0,16,10082.110116,0,3,0
5.0,42,10145.992092,0,3,0
0.0,124,10349.755007,0,1,0
16.0,65,10393.474161,0,2,0
15.0,25,10461.20698,0,3,0
12.0,21,10462.058632,0,2,0
29.0,47,10532.134955,0,1,0
-3.0,16,10553.542404,10,1,0.85
0.0,125,10722.795008,0,2,0
17.0,11,10722.962324,0,2,0
16.0,31,10800.462832,0,3,0
24.0,24,10853.929232,0,1,0
12.0,22,10872.490437,0,2,0
-32.0,22,10888.404248,7,2,0.75
8.0,22,10896.53809,0,1,0
12.0,21,10928.829573,0,2,0
22.0,114,11030.67544,0,2,0
21.0,50,11075.208091,0,2,0
12.0,20,11129.701954,0,0,0
15.0,17,11178.071324,0,1,0
14.0,33,11250.088634,0,1,0
2.0,73,11361.574785,0,2,0
22.0,19,11377.606493,0,2,0
21.0,39,11390.286852,0,2,0
7.0,28,11407.2209,0,2,0
19.0,17,11434.080513,0,1,0
28.0,18,11465.351968,7,1,0.3
9.0,35,11496.355776,0,2,0
4.0,31,11500.79863,0,2,0
17.0,50,11550.734296,0,3,0
9.0,36,11593.433358,0,1,0
19.0,16,11593.590541,0,1,0
10.0,16,11624.751341,0,1,0
2.0,28,11671.388871,0,2,0
2.0,17,11704.753746,0,1,0
21.0,24,11757.218625,0,2,0
12.0,15,11795.14024,0,1,0
12.0,23,11817.676809,0,2,0
19.0,28,11902.946951,0,2,0
11.0,18,11919.690816,0,1,0
19.0,47,11976.534878,0,1,0
19.0,17,12012.970364,0,2,0
0.0,11,12041.376598,1,1,1.0
0.0,17,12087.823601,0,2,0
27.0,42,12161.897717,0,2,0
25.0,25,12192.172672,0,2,0
21.0,33,12287.265824,0,0,0
17.0,79,12347.676928,0,2,0
0.0,34,12378.413196,2,1,1.0
22.0,21,12394.641512,0,2,0
5.0,17,12394.79141,0,2,0
9.0,46,12448.162245,0,2,0
5.0,50,12485.278028,0,1,0
12.0,16,12490.222073,0,2,0
10.0,15,12490.385017,0,0,0
24.0,28,12525.47095,0,1,0
19.0,27,12557.276489,0,1,0
9.0,23,12586.752093,0,2,0
7.0,24,12667.359982,0,2,0
18.0,17,12676.862697,0,1,0
11.0,14,12677.375347,0,1,0
29.0,23,12733.696176,0,2,0
11.0,74,12811.242584,0,2,0
21.0,22,12858.204398,8,1,0.45
36.0,45,12939.501773,19,1,0.0
10.0,16,12987.088288,0,2,0
15.0,31,13046.267711,13,1,0.6
16.0,66,13119.421045,11,2,0.0
47.0,47,13237.433912,18,1,0.5
16.0,15,13253.67348,0,1,0
30.0,64,13332.962739,10,2,0.0
16.0,19,13333.255363,0,3,0
20.0,26,13349.23489,0,3,0
5.0,38,13377.898226,0,3,0
16.0,17,13424.141148,0,1,0
30.0,21,13461.703145,0,1,0
16.0,20,13488.727364,0,2,0
5.0,56,13545.183333,0,3,0
22.0,50,13635.769938,0,1,0
10.0,19,13636.712705,0,0,0
-1.0,20,13641.496976,4,1,0.95
26.0,15,13642.434886,0,1,0
12.0,11,13690.04061,0,3,0
10.0,12,13693.82442,0,2,0
11.0,28,13708.430259,12,2,0.55
11.0,35,13756.724209,0,1,0
2.0,23,13764.777135,0,2,0
15.0,15,13764.962707,0,2,0
14.0,23,13800.859327,0,2,0
24.0,12,13808.2696,0,1,0
10.0,25,13823.837342,0,1,0
21.0,37,13846.638034,0,2,0
16.0,25,13854.5096,0,2,0
20.0,26,13854.758456,0,3,0
12.0,35,13917.79102,0,2,0
24.0,17,13982.117429,0,2,0
19.0,22,13987.38225,0,2,0
3.0,61,14014.819484,0,1,0
25.0,22,14077.175222,15,1,0.0
22.0,15,14093.592686,0,2,0
26.0,32,14137.601454,0,2,0
