#{"t_start": 1683889034.5687404, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
14.0,29,6.866101,0,1,0
3.0,18,10.162084,0,2,0
17.0,21,23.840576,0,5,0
13.0,18,96.480347,8,1,0.0
14.0,10,105.617347,3,1,0.9
3.0,14,165.793204,0,1,0
15.0,20,182.124474,0,0,0
5.0,14,204.07612,0,1,0
11.0,53,274.972497,0,1,0
15.0,14,280.45594,0,2,0
15.0,16,332.131077,0,1,0
11.0,17,380.530336,0,2,0
12.0,31,417.232585,0,2,0
7.0,53,475.176412,8,1,1.0
16.0,73,523.329199,0,2,0
19.0,23,526.575511,0,2,0
20.0,17,563.698534,0,1,0
11.0,61,643.395965,0,2,0
22.0,16,675.27031,6,1,0.0
29.0,24,691.462359,0,1,0
5.0,26,760.772916,0,1,0
16.0,22,778.304682,0,1,0
19.0,36,852.609007,0,1,0
21.0,83,928.148058,7,1,0.0
5.0,12,928.374287,0,1,0
15.0,28,951.77738,0,2,0
-6.0,11,955.793228,2,1,0.85
2.0,53,984.953312,0,1,0
12.0,20,985.173635,0,2,0
6.0,25,1003.631328,0,1,0
14.0,47,1061.240409,0,1,0
-2.0,30,1091.300302,0,1,0
15.0,38,1138.547499,0,1,0
8.0,22,1154.081616,0,1,0
13.0,28,1192.31083,0,2,0
9.0,11,1239.991792,0,2,0
22.0,15,1240.176301,0,2,0
14.0,31,1277.306471,0,1,0
16.0,16,1291.668108,0,2,0
12.0,43,1389.739741,0,2,0
22.0,26,1409.681453,0,2,0
-10.0,16,1411.567111,5,1,0.95
14.0,42,1479.501903,0,3,0
12.0,28,1555.744156,0,2,0
12.0,17,1588.559795,0,2,0
13.0,56,1629.9763,0,2,0
10.0,15,1664.198162,0,2,0
5.0,30,1744.18458,0,2,0
2.0,26,1754.791268,0,2,0
20.0,23,1781.535896,0,1,0
6.0,19,1842.121457,0,1,0
14.0,20,1842.363095,0,1,0
21.0,18,1859.028758,0,1,0
26.0,16,1862.829382,0,3,0
20.0,31,1942.069082,5,1,0.25
10.0,13,1958.41589,0,1,0
21.0,31,2062.154635,14,2,0.0
22.0,23,2110.255086,0,1,0
6.0,38,2142.026904,0,2,0
30.0,11,2169.943877,8,1,0.4
16.0,15,2202.221577,0,4,0
