#{"t_start": 1683717063.714355, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
1.0,9,1.820915,0,2,0
-6.0,17,1.941083,0,2,0
0.0,11,1.989252,0,1,0
-1.0,8,2.033039,0,3,0
0.0,10,2.088004,0,0,0
5.0,13,2.147445,0,2,0
4.0,15,2.233017,0,1,0
0.0,8,2.26083,0,0,0
-8.0,11,2.301326,0,3,0
-4.0,9,2.335579,0,2,0
0.0,8,2.378601,0,2,0
-5.0,9,2.423247,0,2,0
1.0,13,2.492333,0,3,0
-5.0,16,2.57491,0,0,0
-5.0,13,2.653545,0,2,0
0.0,7,2.698547,0,0,0
-4.0,10,2.732318,0,2,0
-9.0,18,2.8158,0,3,0
0.0,9,2.877025,0,2,0
-5.0,13,2.94732,0,0,0
-8.0,17,3.030047,0,5,0
0.0,8,3.06601,0,2,0
-5.0,12,3.12993,0,4,0
5.0,12,3.18959,0,1,0
-4.0,12,3.238492,0,2,0
1.0,5,3.252041,0,2,0
-5.0,5,3.290294,0,2,0
-4.0,10,3.323549,0,1,0
-8.0,10,3.365133,0,1,0
-8.0,11,3.400907,0,5,0
-5.0,9,3.434056,0,0,0
-4.0,8,3.46082,0,1,0
-15.0,12,3.499811,0,1,0
-9.0,12,3.556147,0,5,0
9.0,7,3.580389,0,2,0
10.0,7,3.601791,0,1,0
0.0,9,3.652082,0,0,0
9.0,9,3.685739,0,0,0
-8.0,10,3.732898,0,0,0
-4.0,12,3.805425,0,3,0
-4.0,7,3.833087,0,2,0
9.0,6,3.853912,0,1,0
0.0,13,3.909153,0,2,0
0.0,15,3.976408,0,2,0
-8.0,23,4.065297,0,5,0
-1.0,19,4.214662,0,1,0
-5.0,9,4.246082,0,2,0
-4.0,9,4.288141,0,1,0
-5.0,15,4.368447,0,1,0
-9.0,8,4.399172,0,1,0
1.0,8,4.426072,0,1,0
0.0,5,4.444778,0,1,0
-4.0,15,4.543492,0,2,0
0.0,12,4.584346,0,1,0
-13.0,10,4.632986,0,2,0
1.0,7,4.655174,0,1,0
-9.0,16,4.708052,0,1,0
-8.0,13,4.750668,0,1,0
5.0,13,4.808745,0,0,0
-5.0,11,4.839872,0,1,0
-5.0,8,4.875829,0,2,0
-9.0,9,4.904684,0,0,0
0.0,12,4.953305,0,0,0
-4.0,15,5.009671,0,4,0
-5.0,7,5.035908,0,2,0
-6.0,13,5.113677,0,1,0
-4.0,7,5.157645,0,3,0
-5.0,6,5.188482,0,2,0
-8.0,20,5.273468,0,2,0
-5.0,12,5.328026,0,0,0
1.0,10,5.375988,0,3,0
1.0,8,5.404706,0,1,0
9.0,14,5.455596,0,1,0
-8.0,10,5.488917,0,0,0
4.0,11,5.554414,0,2,0
-4.0,8,5.591952,0,2,0
9.0,7,5.63513,0,3,0
-9.0,14,5.701383,0,0,0
1.0,11,5.739522,0,0,0
-4.0,8,5.772169,0,1,0
-10.0,10,5.808238,0,0,0
5.0,14,5.888359,0,2,0
0.0,8,5.933488,0,0,0
-9.0,9,5.981551,0,3,0
5.0,13,6.043565,0,0,0
-1.0,17,6.12379,0,1,0
-5.0,10,6.180925,0,0,0
-5.0,8,6.223548,0,0,0
0.0,11,6.284326,0,0,0
-13.0,15,6.376514,0,0,0
-3.0,6,6.39965,0,3,0
4.0,16,6.538868,0,1,0
-8.0,15,6.607136,0,0,0
-9.0,9,6.65046,0,2,0
-4.0,18,6.746798,0,2,0
-1.0,9,6.778254,0,2,0
2.0,16,6.866944,0,0,0
0.0,15,6.934304,0,1,0
5.0,6,6.956229,0,2,0
5.0,8,6.987115,0,0,0
-9.0,17,7.115562,0,2,0
0.0,13,7.201113,0,3,0
-2.0,9,7.252536,0,1,0
2.0,14,7.357,0,4,0
9.0,9,7.43666,0,1,0
-1.0,9,7.500699,0,2,0
0.0,8,7.536566,0,2,0
0.0,12,7.61944,0,1,0
-3.0,8,7.656836,0,3,0
-4.0,10,7.720535,0,5,0
-1.0,8,7.783293,0,1,0
-5.0,13,7.862911,0,3,0
-4.0,12,7.934164,0,5,0
-4.0,12,7.977927,0,1,0
3.0,18,8.100153,0,1,0
5.0,7,8.130736,0,1,0
5.0,14,8.22202,0,2,0
4.0,12,8.271432,0,3,0
0.0,16,8.341985,0,2,0
10.0,13,8.407001,0,2,0
6.0,10,8.456128,0,0,0
1.0,12,8.513813,0,1,0
-4.0,15,8.594447,0,1,0
-9.0,9,8.652637,0,2,0
-10.0,16,8.749556,0,0,0
6.0,17,8.828864,0,1,0
5.0,12,8.887982,0,3,0
0.0,9,8.96464,0,2,0
-5.0,11,9.013568,0,2,0
5.0,9,9.065161,0,2,0
19.0,8,9.110097,0,1,0
5.0,14,9.171421,0,2,0
4.0,6,9.211764,0,1,0
4.0,9,9.25631,0,1,0
-8.0,12,9.35312,0,3,0
-4.0,11,9.411209,0,1,0
4.0,11,9.458476,0,1,0
