#{"t_start": 1683046062.514328, "env_id": "sokoban_solver-turtle-v0"}
r,l,t
16.0,10,39.183373
11.0,23,138.534075
5.0,12,183.127402
8.0,11,228.190459
19.0,13,269.725464
19.0,12,317.030705
21.0,4,333.063184
5.0,19,399.251117
15.0,15,454.355011
14.0,14,480.218476
14.0,13,483.58986
15.0,1,493.860633
5.0,11,535.507758
12.0,15,587.179418
9.0,28,694.249491
7.0,20,726.899245
11.0,13,790.607396
5.0,22,836.769909
9.0,14,853.740115
-8.0,33,962.498923
5.0,23,1065.667964
-2.0,12,1086.152289
4.0,26,1175.909171
20.0,13,1215.367625
9.0,25,1279.748681
28.0,7,1311.670511
-1.0,17,1381.443985
10.0,18,1437.866422
24.0,13,1491.308169
16.0,12,1525.09599
20.0,15,1594.770987
-19.0,24,1677.243295
14.0,18,1727.129175
22.0,18,1805.386262
2.0,21,1846.142457
19.0,24,1946.218714
10.0,17,1979.233394
12.0,16,2020.848415
7.0,18,2069.961541
17.0,18,2144.361105
9.0,22,2193.929751
17.0,21,2272.00052
15.0,22,2354.929598
12.0,18,2383.058388
12.0,14,2398.758787
18.0,14,2439.275739
20.0,16,2480.000097
17.0,31,2573.867468
7.0,12,2621.841792
9.0,44,2821.691881
18.0,15,2878.840889
15.0,14,2918.050981
4.0,25,2959.631941
24.0,21,3074.881044
19.0,42,3217.975552
19.0,25,4062.365264
4.0,33,4180.047743
1.0,27,4252.630585
12.0,17,4326.850662
2.0,21,4408.021096
8.0,36,4533.204378
9.0,34,4638.212123
2.0,8,4654.831642
26.0,13,4696.547903
17.0,20,4761.801588
12.0,18,4832.817519
20.0,14,4899.497553
5.0,11,4931.801842
12.0,12,4966.346982
9.0,25,5002.159177
2.0,21,5092.474611
24.0,16,5144.554845
16.0,15,5202.064356
21.0,13,5238.857988
27.0,6,5250.176446
2.0,13,5282.264348
19.0,15,5345.852273
19.0,6,5369.588414
-3.0,16,5436.048675
19.0,12,5480.964465
21.0,12,5503.281634
14.0,14,5566.324008
19.0,15,5639.369563
9.0,12,5688.953531
9.0,10,5704.817392
17.0,14,5721.653796
0.0,41,5823.246016
18.0,17,5873.213024
4.0,12,5919.786627
-3.0,18,5986.846758
11.0,48,6112.346862
-3.0,14,6146.341364
11.0,10,6173.549783
24.0,17,6247.990406
19.0,15,6330.957803
7.0,11,6373.185777
14.0,20,6430.828497
9.0,11,6459.77071
7.0,16,6505.88273
12.0,23,6585.178106
10.0,19,6638.164244
17.0,29,6690.770774
7.0,15,6750.187058
19.0,22,6830.7359
14.0,18,6896.160851
25.0,12,6929.848098
5.0,17,6979.008305
17.0,12,7009.250787
17.0,16,7081.645975
12.0,20,7160.966462
5.0,16,7186.149666
12.0,13,7211.394822
9.0,13,7825.139259
1.0,15,7881.644694
3.0,14,7931.062104
22.0,24,8074.733636
9.0,15,8125.775605
35.0,15,8192.34345
9.0,16,8209.292973
23.0,31,8330.790545
9.0,13,8370.895018
19.0,15,8403.844869
-33.0,28,8505.996733
7.0,11,8553.354092
9.0,18,8631.617212
19.0,18,8671.865696
27.0,20,8753.209697
14.0,13,8791.606442
2.0,20,8883.872464
-4.0,11,8974.208062
9.0,28,9066.397484
7.0,47,9261.754583
18.0,18,9310.36482
22.0,16,9359.145011
2.0,15,9399.671998
4.0,12,9421.548477
24.0,19,9509.578938
15.0,14,9558.755324
15.0,17,9654.766966
7.0,14,9701.947977
4.0,11,9764.167543
2.0,14,9815.335684
17.0,18,9856.575252
8.0,18,9911.168508
2.0,42,10072.408476
11.0,29,10190.182341
9.0,22,10279.431034
31.0,12,10342.502456
4.0,26,10424.916024
25.0,9,10447.099051
4.0,24,10504.508283
14.0,18,10552.761256
11.0,16,10569.05765
